ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SIT_DOM;DESC_SIT_DOM
Indicador  4.2.1.3;2;100.0;28;Sergipe;9310;2019;2;Rural
Indicador  4.2.1.3;2;92.2;29;Bahia;9310;2012;6795;Total
Indicador  4.2.1.3;2;92.7;29;Bahia;9310;2012;1;Urbana
Indicador  4.2.1.3;2;91.1;29;Bahia;9310;2012;2;Rural
Indicador  4.2.1.3;2;93.5;29;Bahia;9310;2013;6795;Total
Indicador  4.2.1.3;2;96.8;29;Bahia;9310;2013;1;Urbana
Indicador  4.2.1.3;2;85.9;29;Bahia;9310;2013;2;Rural
Indicador  4.2.1.3;2;95.9;29;Bahia;9310;2014;6795;Total
Indicador  4.2.1.3;2;96.2;29;Bahia;9310;2014;1;Urbana
Indicador  4.2.1.3;2;95.1;29;Bahia;9310;2014;2;Rural
Indicador  4.2.1.3;2;94.9;29;Bahia;9310;2015;6795;Total
Indicador  4.2.1.3;2;95.8;29;Bahia;9310;2015;1;Urbana
Indicador  4.2.1.3;2;92.9;29;Bahia;9310;2015;2;Rural
Indicador  4.2.1.3;2;94.5;29;Bahia;9310;2016;6795;Total
Indicador  4.2.1.3;2;94.3;29;Bahia;9310;2016;1;Urbana
Indicador  4.2.1.3;2;94.8;29;Bahia;9310;2016;2;Rural
Indicador  4.2.1.3;2;98.1;29;Bahia;9310;2017;6795;Total
Indicador  4.2.1.3;2;98.7;29;Bahia;9310;2017;1;Urbana
Indicador  4.2.1.3;2;96.8;29;Bahia;9310;2017;2;Rural
Indicador  4.2.1.3;2;99.0;29;Bahia;9310;2018;6795;Total
Indicador  4.2.1.3;2;99.4;29;Bahia;9310;2018;1;Urbana
Indicador  4.2.1.3;2;97.9;29;Bahia;9310;2018;2;Rural
Indicador  4.2.1.3;2;98.7;29;Bahia;9310;2019;6795;Total
Indicador  4.2.1.3;2;95.9;29;Bahia;9310;2019;1;Urbana
Indicador  4.2.1.3;2;97.5;29;Bahia;9310;2019;2;Rural
Indicador  4.2.1.3;2;91.3;31;Minas Gerais;9310;2012;6795;Total
Indicador  4.2.1.3;2;93.4;31;Minas Gerais;9310;2012;1;Urbana
Indicador  4.2.1.3;2;80.2;31;Minas Gerais;9310;2012;2;Rural
Indicador  4.2.1.3;2;89.7;31;Minas Gerais;9310;2013;6795;Total
Indicador  4.2.1.3;2;93.1;31;Minas Gerais;9310;2013;1;Urbana
Indicador  4.2.1.3;2;71.5;31;Minas Gerais;9310;2013;2;Rural
Indicador  4.2.1.3;2;94.8;31;Minas Gerais;9310;2014;6795;Total
Indicador  4.2.1.3;2;96.8;31;Minas Gerais;9310;2014;1;Urbana
Indicador  4.2.1.3;2;85.1;31;Minas Gerais;9310;2014;2;Rural
Indicador  4.2.1.3;2;96.9;31;Minas Gerais;9310;2015;6795;Total
Indicador  4.2.1.3;2;97.9;31;Minas Gerais;9310;2015;1;Urbana
Indicador  4.2.1.3;2;90.8;31;Minas Gerais;9310;2015;2;Rural
Indicador  4.2.1.3;2;96.7;31;Minas Gerais;9310;2016;6795;Total
Indicador  4.2.1.3;2;97.5;31;Minas Gerais;9310;2016;1;Urbana
Indicador  4.2.1.3;2;92.3;31;Minas Gerais;9310;2016;2;Rural
Indicador  4.2.1.3;2;96.9;31;Minas Gerais;9310;2017;6795;Total
Indicador  4.2.1.3;2;98.4;31;Minas Gerais;9310;2017;1;Urbana
Indicador  4.2.1.3;2;89.4;31;Minas Gerais;9310;2017;2;Rural
Indicador  4.2.1.3;2;96.5;31;Minas Gerais;9310;2018;6795;Total
Indicador  4.2.1.3;2;96.5;31;Minas Gerais;9310;2018;1;Urbana
Indicador  4.2.1.3;2;96.5;31;Minas Gerais;9310;2018;2;Rural
Indicador  4.2.1.3;2;98.5;31;Minas Gerais;9310;2019;6795;Total
Indicador  4.2.1.3;2;97.7;31;Minas Gerais;9310;2019;1;Urbana
Indicador  4.2.1.3;2;96.1;31;Minas Gerais;9310;2019;2;Rural
Indicador  4.2.1.3;2;89.9;32;Espírito Santo;9310;2012;6795;Total
Indicador  4.2.1.3;2;92.4;32;Espírito Santo;9310;2012;1;Urbana
Indicador  4.2.1.3;2;77.8;32;Espírito Santo;9310;2012;2;Rural
Indicador  4.2.1.3;2;89.4;32;Espírito Santo;9310;2013;6795;Total
Indicador  4.2.1.3;2;90.5;32;Espírito Santo;9310;2013;1;Urbana
Indicador  4.2.1.3;2;84.2;32;Espírito Santo;9310;2013;2;Rural
Indicador  4.2.1.3;2;90.0;32;Espírito Santo;9310;2014;6795;Total
Indicador  4.2.1.3;2;92.3;32;Espírito Santo;9310;2014;1;Urbana
Indicador  4.2.1.3;2;78.1;32;Espírito Santo;9310;2014;2;Rural
Indicador  4.2.1.3;2;93.5;32;Espírito Santo;9310;2015;6795;Total
Indicador  4.2.1.3;2;94.7;32;Espírito Santo;9310;2015;1;Urbana
Indicador  4.2.1.3;2;86.7;32;Espírito Santo;9310;2015;2;Rural
Indicador  4.2.1.3;2;96.7;32;Espírito Santo;9310;2016;6795;Total
Indicador  4.2.1.3;2;96.6;32;Espírito Santo;9310;2016;1;Urbana
Indicador  4.2.1.3;2;97.9;32;Espírito Santo;9310;2016;2;Rural
Indicador  4.2.1.3;2;96.5;32;Espírito Santo;9310;2017;6795;Total
Indicador  4.2.1.3;2;97.4;32;Espírito Santo;9310;2017;1;Urbana
Indicador  4.2.1.3;2;91.0;32;Espírito Santo;9310;2017;2;Rural
Indicador  4.2.1.3;2;97.0;32;Espírito Santo;9310;2018;6795;Total
Indicador  4.2.1.3;2;97.1;32;Espírito Santo;9310;2018;1;Urbana
Indicador  4.2.1.3;2;96.2;32;Espírito Santo;9310;2018;2;Rural
Indicador  4.2.1.3;2;98.2;32;Espírito Santo;9310;2019;6795;Total
Indicador  4.2.1.3;2;99.3;32;Espírito Santo;9310;2019;1;Urbana
Indicador  4.2.1.3;2;93.5;32;Espírito Santo;9310;2019;2;Rural
Indicador  4.2.1.3;2;89.8;33;Rio de Janeiro;9310;2012;6795;Total
Indicador  4.2.1.3;2;89.7;33;Rio de Janeiro;9310;2012;1;Urbana
Indicador  4.2.1.3;2;91.9;33;Rio de Janeiro;9310;2012;2;Rural
Indicador  4.2.1.3;2;93.2;33;Rio de Janeiro;9310;2013;6795;Total
Indicador  4.2.1.3;2;93.5;33;Rio de Janeiro;9310;2013;1;Urbana
Indicador  4.2.1.3;2;86.2;33;Rio de Janeiro;9310;2013;2;Rural
Indicador  4.2.1.3;2;91.2;33;Rio de Janeiro;9310;2014;6795;Total
Indicador  4.2.1.3;2;91.4;33;Rio de Janeiro;9310;2014;1;Urbana
Indicador  4.2.1.3;2;85.9;33;Rio de Janeiro;9310;2014;2;Rural
Indicador  4.2.1.3;2;95.0;33;Rio de Janeiro;9310;2015;6795;Total
Indicador  4.2.1.3;2;95.9;33;Rio de Janeiro;9310;2015;1;Urbana
Indicador  4.2.1.3;2;73.0;33;Rio de Janeiro;9310;2015;2;Rural
Indicador  4.2.1.3;2;89.6;33;Rio de Janeiro;9310;2016;6795;Total
