ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_RACA;DESC_RACA
Indicador  5.4.1.2;2;5.0;14;Roraima;9471;2016;4;Homens;2776;Branca
Indicador  5.4.1.2;2;4.9;14;Roraima;9471;2016;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;10.1;14;Roraima;9471;2016;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;8.9;14;Roraima;9471;2016;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;10.3;14;Roraima;9471;2016;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;6.7;14;Roraima;9471;2017;6794;Total;95251;Total
Indicador  5.4.1.2;2;6.5;14;Roraima;9471;2017;6794;Total;2776;Branca
Indicador  5.4.1.2;2;6.7;14;Roraima;9471;2017;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;4.4;14;Roraima;9471;2017;4;Homens;95251;Total
Indicador  5.4.1.2;2;4.4;14;Roraima;9471;2017;4;Homens;2776;Branca
Indicador  5.4.1.2;2;4.5;14;Roraima;9471;2017;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;8.9;14;Roraima;9471;2017;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;8.4;14;Roraima;9471;2017;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;9.0;14;Roraima;9471;2017;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;6.7;14;Roraima;9471;2018;6794;Total;95251;Total
Indicador  5.4.1.2;2;6.2;14;Roraima;9471;2018;6794;Total;2776;Branca
Indicador  5.4.1.2;2;6.8;14;Roraima;9471;2018;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;4.6;14;Roraima;9471;2018;4;Homens;95251;Total
Indicador  5.4.1.2;2;4.4;14;Roraima;9471;2018;4;Homens;2776;Branca
Indicador  5.4.1.2;2;4.7;14;Roraima;9471;2018;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;8.9;14;Roraima;9471;2018;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;8.0;14;Roraima;9471;2018;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;9.1;14;Roraima;9471;2018;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;7.8;14;Roraima;9471;2019;6794;Total;95251;Total
Indicador  5.4.1.2;2;7.4;14;Roraima;9471;2019;6794;Total;2776;Branca
Indicador  5.4.1.2;2;7.8;14;Roraima;9471;2019;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;5.3;14;Roraima;9471;2019;4;Homens;95251;Total
Indicador  5.4.1.2;2;5.1;14;Roraima;9471;2019;4;Homens;2776;Branca
Indicador  5.4.1.2;2;5.3;14;Roraima;9471;2019;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;10.3;14;Roraima;9471;2019;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;9.5;14;Roraima;9471;2019;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;10.4;14;Roraima;9471;2019;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;6.5;14;Roraima;9471;2022;6794;Total;95251;Total
Indicador  5.4.1.2;2;6.3;14;Roraima;9471;2022;6794;Total;2776;Branca
Indicador  5.4.1.2;2;6.5;14;Roraima;9471;2022;6794;Total;119525;Preta ou parda
Indicador  5.4.1.2;2;4.8;14;Roraima;9471;2022;4;Homens;95251;Total
Indicador  5.4.1.2;2;4.9;14;Roraima;9471;2022;4;Homens;2776;Branca
Indicador  5.4.1.2;2;4.8;14;Roraima;9471;2022;4;Homens;119525;Preta ou parda
Indicador  5.4.1.2;2;8.0;14;Roraima;9471;2022;5;Mulheres;95251;Total
Indicador  5.4.1.2;2;7.6;14;Roraima;9471;2022;5;Mulheres;2776;Branca
Indicador  5.4.1.2;2;8.1;14;Roraima;9471;2022;5;Mulheres;119525;Preta ou parda
Indicador  5.4.1.2;2;8.4;15;Pará;9471;2016;6794;Total;95251;Total
Indicador  5.4.1.2;2;8.6;15;Pará;9471;2016;6794;Total;2776;Branca
Indicador  5.4.1.2;2;8.4;15;Pará;9471;2016;6794;Total;119525;Preta ou parda
