ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;COD_GRU_IDADE_NIV_ENS;DESC_GRU_IDADE_NIV_ENS
Indicador  4.1.2;2;71.9;15;Pará;4721;2017;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;51.5;15;Pará;4721;2017;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;90.7;15;Pará;4721;2018;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;75.7;15;Pará;4721;2018;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;54.3;15;Pará;4721;2018;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;89.5;15;Pará;4721;2019;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;77.1;15;Pará;4721;2019;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;55.1;15;Pará;4721;2019;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.4;15;Pará;4721;2022;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;81.7;15;Pará;4721;2022;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;65.3;15;Pará;4721;2022;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.1;15;Pará;4721;2023;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;83.5;15;Pará;4721;2023;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;63.1;15;Pará;4721;2023;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;88.7;16;Amapá;4721;2016;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;79.0;16;Amapá;4721;2016;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;61.5;16;Amapá;4721;2016;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;93.8;16;Amapá;4721;2017;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;78.4;16;Amapá;4721;2017;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;66.8;16;Amapá;4721;2017;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;93.5;16;Amapá;4721;2018;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;80.1;16;Amapá;4721;2018;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;67.4;16;Amapá;4721;2018;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;93.6;16;Amapá;4721;2019;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;86.7;16;Amapá;4721;2019;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;70.6;16;Amapá;4721;2019;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.2;16;Amapá;4721;2022;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;85.9;16;Amapá;4721;2022;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;62.6;16;Amapá;4721;2022;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;93.6;16;Amapá;4721;2023;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;83.9;16;Amapá;4721;2023;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;71.3;16;Amapá;4721;2023;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;95.6;17;Tocantins;4721;2016;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;82.0;17;Tocantins;4721;2016;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;63.3;17;Tocantins;4721;2016;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;95.8;17;Tocantins;4721;2017;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;86.1;17;Tocantins;4721;2017;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;71.1;17;Tocantins;4721;2017;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;96.3;17;Tocantins;4721;2018;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;86.5;17;Tocantins;4721;2018;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;68.1;17;Tocantins;4721;2018;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;95.9;17;Tocantins;4721;2019;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;84.7;17;Tocantins;4721;2019;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;69.2;17;Tocantins;4721;2019;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;97.8;17;Tocantins;4721;2022;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;88.0;17;Tocantins;4721;2022;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;72.2;17;Tocantins;4721;2022;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;98.8;17;Tocantins;4721;2023;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;88.1;17;Tocantins;4721;2023;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;75.9;17;Tocantins;4721;2023;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;92.9;21;Maranhão;4721;2016;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;79.5;21;Maranhão;4721;2016;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;51.7;21;Maranhão;4721;2016;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.7;21;Maranhão;4721;2017;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;79.3;21;Maranhão;4721;2017;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;57.0;21;Maranhão;4721;2017;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.3;21;Maranhão;4721;2018;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;81.5;21;Maranhão;4721;2018;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;59.8;21;Maranhão;4721;2018;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;95.2;21;Maranhão;4721;2019;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;83.1;21;Maranhão;4721;2019;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;61.5;21;Maranhão;4721;2019;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;96.0;21;Maranhão;4721;2022;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;87.1;21;Maranhão;4721;2022;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;67.3;21;Maranhão;4721;2022;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;96.5;21;Maranhão;4721;2023;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;88.6;21;Maranhão;4721;2023;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;67.1;21;Maranhão;4721;2023;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;90.8;22;Piauí;4721;2016;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;68.7;22;Piauí;4721;2016;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;59.0;22;Piauí;4721;2016;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;91.0;22;Piauí;4721;2017;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;73.8;22;Piauí;4721;2017;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;57.8;22;Piauí;4721;2017;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;91.4;22;Piauí;4721;2018;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;79.1;22;Piauí;4721;2018;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;63.7;22;Piauí;4721;2018;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;93.3;22;Piauí;4721;2019;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;82.2;22;Piauí;4721;2019;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;65.1;22;Piauí;4721;2019;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;97.5;22;Piauí;4721;2022;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;82.4;22;Piauí;4721;2022;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;68.7;22;Piauí;4721;2022;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;94.1;22;Piauí;4721;2023;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;85.1;22;Piauí;4721;2023;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;70.1;22;Piauí;4721;2023;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;95.7;23;Ceará;4721;2016;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;82.0;23;Ceará;4721;2016;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;60.7;23;Ceará;4721;2016;59997;Ensino médio - Pessoas de 20 a 22 anos
Indicador  4.1.2;2;95.8;23;Ceará;4721;2017;59995;Anos iniciais do ensino fundamental - Pessoas de 13 a 15 anos
Indicador  4.1.2;2;82.3;23;Ceará;4721;2017;59996;Ensino fundamental - Pessoas de 17 a 19 anos
Indicador  4.1.2;2;59.9;23;Ceará;4721;2017;59997;Ensino médio - Pessoas de 20 a 22 anos
