ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE;CODG_SEXO;DESC_SEXO;SUB_INDICADOR
Indicador  3.3.4;1020;1118;1;Brasil;9613;2022;1148;40 a 44 anos;6794;Total;9613
Indicador  3.3.4;1020;680;1;Brasil;9613;2022;1148;40 a 44 anos;92956;Homem;9613
Indicador  3.3.4;1020;438;1;Brasil;9613;2022;1148;40 a 44 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1096;1;Brasil;9613;2022;1149;45 a 49 anos;6794;Total;9613
Indicador  3.3.4;1020;676;1;Brasil;9613;2022;1149;45 a 49 anos;92956;Homem;9613
Indicador  3.3.4;1020;420;1;Brasil;9613;2022;1149;45 a 49 anos;92957;Mulher;9613
Indicador  3.3.4;1020;939;1;Brasil;9613;2022;1150;50 a 54 anos;6794;Total;9613
Indicador  3.3.4;1020;555;1;Brasil;9613;2022;1150;50 a 54 anos;92956;Homem;9613
Indicador  3.3.4;1020;384;1;Brasil;9613;2022;1150;50 a 54 anos;92957;Mulher;9613
Indicador  3.3.4;1020;866;1;Brasil;9613;2022;1151;55 a 59 anos;6794;Total;9613
Indicador  3.3.4;1020;515;1;Brasil;9613;2022;1151;55 a 59 anos;92956;Homem;9613
Indicador  3.3.4;1020;351;1;Brasil;9613;2022;1151;55 a 59 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1765;1;Brasil;9613;2022;3302;60 anos ou mais;6794;Total;9613
Indicador  3.3.4;1020;1092;1;Brasil;9613;2022;3302;60 anos ou mais;92956;Homem;9613
Indicador  3.3.4;1020;673;1;Brasil;9613;2022;3302;60 anos ou mais;92957;Mulher;9613
Indicador  3.3.4;1020;561;11;Rondônia;9613;2018;95253;Total;6794;Total;9613
Indicador  3.3.4;1020;299;11;Rondônia;9613;2018;95253;Total;92956;Homem;9613
Indicador  3.3.4;1020;262;11;Rondônia;9613;2018;95253;Total;92957;Mulher;9613
Indicador  3.3.4;1020;2;11;Rondônia;9613;2018;1140;0 a 4 anos;6794;Total;9613
Indicador  3.3.4;1020;2;11;Rondônia;9613;2018;1140;0 a 4 anos;92956;Homem;9613
Indicador  3.3.4;1020;0;11;Rondônia;9613;2018;1140;0 a 4 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1;11;Rondônia;9613;2018;1141;5 a 9 anos;6794;Total;9613
Indicador  3.3.4;1020;1;11;Rondônia;9613;2018;1141;5 a 9 anos;92956;Homem;9613
Indicador  3.3.4;1020;0;11;Rondônia;9613;2018;1141;5 a 9 anos;92957;Mulher;9613
Indicador  3.3.4;1020;1;11;Rondônia;9613;2018;1142;10 a 14 anos;6794;Total;9613
Indicador  3.3.4;1020;1;11;Rondônia;9613;2018;1142;10 a 14 anos;92956;Homem;9613
Indicador  3.3.4;1020;0;11;Rondônia;9613;2018;1142;10 a 14 anos;92957;Mulher;9613
Indicador  3.3.4;1020;8;11;Rondônia;9613;2018;1143;15 a 19 anos;6794;Total;9613
Indicador  3.3.4;1020;3;11;Rondônia;9613;2018;1143;15 a 19 anos;92956;Homem;9613
Indicador  3.3.4;1020;5;11;Rondônia;9613;2018;1143;15 a 19 anos;92957;Mulher;9613
Indicador  3.3.4;1020;20;11;Rondônia;9613;2018;1144;20 a 24 anos;6794;Total;9613
Indicador  3.3.4;1020;6;11;Rondônia;9613;2018;1144;20 a 24 anos;92956;Homem;9613
Indicador  3.3.4;1020;14;11;Rondônia;9613;2018;1144;20 a 24 anos;92957;Mulher;9613
Indicador  3.3.4;1020;80;11;Rondônia;9613;2018;1145;25 a 29 anos;6794;Total;9613
Indicador  3.3.4;1020;34;11;Rondônia;9613;2018;1145;25 a 29 anos;92956;Homem;9613
Indicador  3.3.4;1020;46;11;Rondônia;9613;2018;1145;25 a 29 anos;92957;Mulher;9613
Indicador  3.3.4;1020;79;11;Rondônia;9613;2018;1146;30 a 34 anos;6794;Total;9613
Indicador  3.3.4;1020;49;11;Rondônia;9613;2018;1146;30 a 34 anos;92956;Homem;9613
Indicador  3.3.4;1020;30;11;Rondônia;9613;2018;1146;30 a 34 anos;92957;Mulher;9613
Indicador  3.3.4;1020;92;11;Rondônia;9613;2018;1147;35 a 39 anos;6794;Total;9613
Indicador  3.3.4;1020;49;11;Rondônia;9613;2018;1147;35 a 39 anos;92956;Homem;9613
Indicador  3.3.4;1020;43;11;Rondônia;9613;2018;1147;35 a 39 anos;92957;Mulher;9613
Indicador  3.3.4;1020;80;11;Rondônia;9613;2018;1148;40 a 44 anos;6794;Total;9613
Indicador  3.3.4;1020;45;11;Rondônia;9613;2018;1148;40 a 44 anos;92956;Homem;9613
Indicador  3.3.4;1020;35;11;Rondônia;9613;2018;1148;40 a 44 anos;92957;Mulher;9613
Indicador  3.3.4;1020;59;11;Rondônia;9613;2018;1149;45 a 49 anos;6794;Total;9613
Indicador  3.3.4;1020;30;11;Rondônia;9613;2018;1149;45 a 49 anos;92956;Homem;9613
Indicador  3.3.4;1020;29;11;Rondônia;9613;2018;1149;45 a 49 anos;92957;Mulher;9613
Indicador  3.3.4;1020;35;11;Rondônia;9613;2018;1150;50 a 54 anos;6794;Total;9613
Indicador  3.3.4;1020;19;11;Rondônia;9613;2018;1150;50 a 54 anos;92956;Homem;9613
Indicador  3.3.4;1020;16;11;Rondônia;9613;2018;1150;50 a 54 anos;92957;Mulher;9613
