ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_RACA;DESC_RACA;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3.3;1572;-;28;Sergipe;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;28;Sergipe;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;77.835;28;Sergipe;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;28;Sergipe;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;28;Sergipe;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;56.018;28;Sergipe;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;28;Sergipe;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;28;Sergipe;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;285.433;28;Sergipe;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;28;Sergipe;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;28;Sergipe;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;2430.770;29;Bahia;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;29;Bahia;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;29;Bahia;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;387.213;29;Bahia;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;29;Bahia;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;29;Bahia;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;807.230;29;Bahia;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;29;Bahia;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;29;Bahia;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;1200.975;29;Bahia;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;29;Bahia;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;29;Bahia;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;3077.380;31;Minas Gerais;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;31;Minas Gerais;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;31;Minas Gerais;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;1201.179;31;Minas Gerais;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;31;Minas Gerais;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;31;Minas Gerais;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;494.618;31;Minas Gerais;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;31;Minas Gerais;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;31;Minas Gerais;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;1362.780;31;Minas Gerais;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;31;Minas Gerais;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;31;Minas Gerais;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;574.364;32;Espírito Santo;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;32;Espírito Santo;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;32;Espírito Santo;11392;2019;95251;Total;2;Rural;11392
Indicador  16.1.3.3;1572;208.102;32;Espírito Santo;11392;2019;2776;Branca;6795;Total;11392
Indicador  16.1.3.3;1572;-;32;Espírito Santo;11392;2019;2776;Branca;1;Urbana;11392
Indicador  16.1.3.3;1572;-;32;Espírito Santo;11392;2019;2776;Branca;2;Rural;11392
Indicador  16.1.3.3;1572;70.306;32;Espírito Santo;11392;2019;2777;Preta;6795;Total;11392
Indicador  16.1.3.3;1572;-;32;Espírito Santo;11392;2019;2777;Preta;1;Urbana;11392
Indicador  16.1.3.3;1572;-;32;Espírito Santo;11392;2019;2777;Preta;2;Rural;11392
Indicador  16.1.3.3;1572;291.893;32;Espírito Santo;11392;2019;2779;Parda;6795;Total;11392
Indicador  16.1.3.3;1572;-;32;Espírito Santo;11392;2019;2779;Parda;1;Urbana;11392
Indicador  16.1.3.3;1572;-;32;Espírito Santo;11392;2019;2779;Parda;2;Rural;11392
Indicador  16.1.3.3;1572;2142.316;33;Rio de Janeiro;11392;2019;95251;Total;6795;Total;11392
Indicador  16.1.3.3;1572;-;33;Rio de Janeiro;11392;2019;95251;Total;1;Urbana;11392
Indicador  16.1.3.3;1572;-;33;Rio de Janeiro;11392;2019;95251;Total;2;Rural;11392
