ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_INF_ESC;DESC_INF_ESC;SUB_INDICADOR
Indicador  4.a.1;2;74.7;13;Amazonas;11085;2019;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;13;Amazonas;11085;2020;41115;Total;11085
Indicador  4.a.1;2;76.0;13;Amazonas;11085;2020;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;7.4;13;Amazonas;11085;2020;41117;Acesso à internet;11085
Indicador  4.a.1;2;993.0;13;Amazonas;11085;2020;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;23.8;13;Amazonas;11085;2020;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;97.3;13;Amazonas;11085;2020;41120;Abastecimento de água;11085
Indicador  4.a.1;2;82.9;13;Amazonas;11085;2020;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;13;Amazonas;11085;2021;41115;Total;11085
Indicador  4.a.1;2;77.7;13;Amazonas;11085;2021;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;8.0;13;Amazonas;11085;2021;41117;Acesso à internet;11085
Indicador  4.a.1;2;1030.0;13;Amazonas;11085;2021;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;25.2;13;Amazonas;11085;2021;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;97.1;13;Amazonas;11085;2021;41120;Abastecimento de água;11085
Indicador  4.a.1;2;83.6;13;Amazonas;11085;2021;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;13;Amazonas;11085;2022;41115;Total;11085
Indicador  4.a.1;2;78.8;13;Amazonas;11085;2022;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;10.1;13;Amazonas;11085;2022;41117;Acesso à internet;11085
Indicador  4.a.1;2;1063.0;13;Amazonas;11085;2022;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;27.2;13;Amazonas;11085;2022;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;97.3;13;Amazonas;11085;2022;41120;Abastecimento de água;11085
Indicador  4.a.1;2;90.7;13;Amazonas;11085;2022;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;14;Roraima;11085;2018;41115;Total;11085
Indicador  4.a.1;2;71.5;14;Roraima;11085;2018;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;-;14;Roraima;11085;2018;41117;Acesso à internet;11085
Indicador  4.a.1;2;118.0;14;Roraima;11085;2018;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;14.7;14;Roraima;11085;2018;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;97.2;14;Roraima;11085;2018;41120;Abastecimento de água;11085
Indicador  4.a.1;2;37.1;14;Roraima;11085;2018;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;14;Roraima;11085;2019;41115;Total;11085
Indicador  4.a.1;2;65.9;14;Roraima;11085;2019;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;9.2;14;Roraima;11085;2019;41117;Acesso à internet;11085
Indicador  4.a.1;2;117.0;14;Roraima;11085;2019;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;24.5;14;Roraima;11085;2019;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;99.8;14;Roraima;11085;2019;41120;Abastecimento de água;11085
Indicador  4.a.1;2;53.8;14;Roraima;11085;2019;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;14;Roraima;11085;2020;41115;Total;11085
Indicador  4.a.1;2;67.6;14;Roraima;11085;2020;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;11.9;14;Roraima;11085;2020;41117;Acesso à internet;11085
Indicador  4.a.1;2;134.0;14;Roraima;11085;2020;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;28.4;14;Roraima;11085;2020;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;99.2;14;Roraima;11085;2020;41120;Abastecimento de água;11085
Indicador  4.a.1;2;52.1;14;Roraima;11085;2020;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;14;Roraima;11085;2021;41115;Total;11085
Indicador  4.a.1;2;72.4;14;Roraima;11085;2021;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;14.3;14;Roraima;11085;2021;41117;Acesso à internet;11085
Indicador  4.a.1;2;137.0;14;Roraima;11085;2021;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;31.3;14;Roraima;11085;2021;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;99.2;14;Roraima;11085;2021;41120;Abastecimento de água;11085
Indicador  4.a.1;2;53.2;14;Roraima;11085;2021;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;14;Roraima;11085;2022;41115;Total;11085
Indicador  4.a.1;2;72.5;14;Roraima;11085;2022;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;14.3;14;Roraima;11085;2022;41117;Acesso à internet;11085
Indicador  4.a.1;2;158.0;14;Roraima;11085;2022;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;32.7;14;Roraima;11085;2022;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;96.1;14;Roraima;11085;2022;41120;Abastecimento de água;11085
Indicador  4.a.1;2;53.8;14;Roraima;11085;2022;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;15;Pará;11085;2018;41115;Total;11085
Indicador  4.a.1;2;84.2;15;Pará;11085;2018;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;-;15;Pará;11085;2018;41117;Acesso à internet;11085
Indicador  4.a.1;2;2185.0;15;Pará;11085;2018;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;13.4;15;Pará;11085;2018;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;88.9;15;Pará;11085;2018;41120;Abastecimento de água;11085
Indicador  4.a.1;2;58.7;15;Pará;11085;2018;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;15;Pará;11085;2019;41115;Total;11085
Indicador  4.a.1;2;83.5;15;Pará;11085;2019;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;4.3;15;Pará;11085;2019;41117;Acesso à internet;11085
Indicador  4.a.1;2;1667.0;15;Pará;11085;2019;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;34.3;15;Pará;11085;2019;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;92.0;15;Pará;11085;2019;41120;Abastecimento de água;11085
Indicador  4.a.1;2;74.3;15;Pará;11085;2019;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;15;Pará;11085;2020;41115;Total;11085
Indicador  4.a.1;2;85.0;15;Pará;11085;2020;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;5.4;15;Pará;11085;2020;41117;Acesso à internet;11085
Indicador  4.a.1;2;1992.0;15;Pará;11085;2020;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;39.5;15;Pará;11085;2020;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;92.3;15;Pará;11085;2020;41120;Abastecimento de água;11085
Indicador  4.a.1;2;76.6;15;Pará;11085;2020;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;15;Pará;11085;2021;41115;Total;11085
Indicador  4.a.1;2;86.4;15;Pará;11085;2021;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;7.6;15;Pará;11085;2021;41117;Acesso à internet;11085
Indicador  4.a.1;2;1979.0;15;Pará;11085;2021;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;43.8;15;Pará;11085;2021;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;90.5;15;Pará;11085;2021;41120;Abastecimento de água;11085
Indicador  4.a.1;2;76.4;15;Pará;11085;2021;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;15;Pará;11085;2022;41115;Total;11085
Indicador  4.a.1;2;88.4;15;Pará;11085;2022;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;9.2;15;Pará;11085;2022;41117;Acesso à internet;11085
Indicador  4.a.1;2;1916.0;15;Pará;11085;2022;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;45.8;15;Pará;11085;2022;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;91.7;15;Pará;11085;2022;41120;Abastecimento de água;11085
Indicador  4.a.1;2;77.9;15;Pará;11085;2022;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;16;Amapá;11085;2018;41115;Total;11085
Indicador  4.a.1;2;92.4;16;Amapá;11085;2018;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;-;16;Amapá;11085;2018;41117;Acesso à internet;11085
Indicador  4.a.1;2;228.0;16;Amapá;11085;2018;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;18.0;16;Amapá;11085;2018;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;94.7;16;Amapá;11085;2018;41120;Abastecimento de água;11085
Indicador  4.a.1;2;60.6;16;Amapá;11085;2018;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;16;Amapá;11085;2019;41115;Total;11085
Indicador  4.a.1;2;87.1;16;Amapá;11085;2019;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;8.2;16;Amapá;11085;2019;41117;Acesso à internet;11085
Indicador  4.a.1;2;163.0;16;Amapá;11085;2019;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;33.3;16;Amapá;11085;2019;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;95.5;16;Amapá;11085;2019;41120;Abastecimento de água;11085
Indicador  4.a.1;2;83.2;16;Amapá;11085;2019;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;16;Amapá;11085;2020;41115;Total;11085
Indicador  4.a.1;2;87.5;16;Amapá;11085;2020;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;9.1;16;Amapá;11085;2020;41117;Acesso à internet;11085
Indicador  4.a.1;2;185.0;16;Amapá;11085;2020;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;39.2;16;Amapá;11085;2020;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;95.6;16;Amapá;11085;2020;41120;Abastecimento de água;11085
Indicador  4.a.1;2;83.2;16;Amapá;11085;2020;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;16;Amapá;11085;2021;41115;Total;11085
Indicador  4.a.1;2;88.5;16;Amapá;11085;2021;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;10.2;16;Amapá;11085;2021;41117;Acesso à internet;11085
Indicador  4.a.1;2;182.0;16;Amapá;11085;2021;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;43.5;16;Amapá;11085;2021;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;94.9;16;Amapá;11085;2021;41120;Abastecimento de água;11085
Indicador  4.a.1;2;82.4;16;Amapá;11085;2021;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;16;Amapá;11085;2022;41115;Total;11085
Indicador  4.a.1;2;90.1;16;Amapá;11085;2022;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;9.6;16;Amapá;11085;2022;41117;Acesso à internet;11085
Indicador  4.a.1;2;202.0;16;Amapá;11085;2022;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;45.0;16;Amapá;11085;2022;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;95.0;16;Amapá;11085;2022;41120;Abastecimento de água;11085
Indicador  4.a.1;2;82.4;16;Amapá;11085;2022;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;17;Tocantins;11085;2018;41115;Total;11085
Indicador  4.a.1;2;97.8;17;Tocantins;11085;2018;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;-;17;Tocantins;11085;2018;41117;Acesso à internet;11085
Indicador  4.a.1;2;417.0;17;Tocantins;11085;2018;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;31.1;17;Tocantins;11085;2018;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;99.3;17;Tocantins;11085;2018;41120;Abastecimento de água;11085
Indicador  4.a.1;2;96.5;17;Tocantins;11085;2018;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;17;Tocantins;11085;2019;41115;Total;11085
Indicador  4.a.1;2;97.9;17;Tocantins;11085;2019;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;21.3;17;Tocantins;11085;2019;41117;Acesso à internet;11085
Indicador  4.a.1;2;402.0;17;Tocantins;11085;2019;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;60.4;17;Tocantins;11085;2019;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;99.5;17;Tocantins;11085;2019;41120;Abastecimento de água;11085
Indicador  4.a.1;2;94.3;17;Tocantins;11085;2019;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;17;Tocantins;11085;2020;41115;Total;11085
Indicador  4.a.1;2;98.5;17;Tocantins;11085;2020;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;25.7;17;Tocantins;11085;2020;41117;Acesso à internet;11085
Indicador  4.a.1;2;440.0;17;Tocantins;11085;2020;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;65.2;17;Tocantins;11085;2020;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;99.5;17;Tocantins;11085;2020;41120;Abastecimento de água;11085
Indicador  4.a.1;2;94.8;17;Tocantins;11085;2020;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;17;Tocantins;11085;2021;41115;Total;11085
Indicador  4.a.1;2;98.8;17;Tocantins;11085;2021;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;29.1;17;Tocantins;11085;2021;41117;Acesso à internet;11085
Indicador  4.a.1;2;458.0;17;Tocantins;11085;2021;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;71.9;17;Tocantins;11085;2021;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;97.9;17;Tocantins;11085;2021;41120;Abastecimento de água;11085
Indicador  4.a.1;2;94.8;17;Tocantins;11085;2021;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;17;Tocantins;11085;2022;41115;Total;11085
Indicador  4.a.1;2;98.9;17;Tocantins;11085;2022;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;31.0;17;Tocantins;11085;2022;41117;Acesso à internet;11085
Indicador  4.a.1;2;434.0;17;Tocantins;11085;2022;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;73.7;17;Tocantins;11085;2022;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;97.9;17;Tocantins;11085;2022;41120;Abastecimento de água;11085
Indicador  4.a.1;2;92.0;17;Tocantins;11085;2022;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;21;Maranhão;11085;2018;41115;Total;11085
Indicador  4.a.1;2;97.7;21;Maranhão;11085;2018;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;-;21;Maranhão;11085;2018;41117;Acesso à internet;11085
Indicador  4.a.1;2;2050.0;21;Maranhão;11085;2018;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;11.8;21;Maranhão;11085;2018;41119;Infraestrutura adaptada para alunos com deficiência;11085
Indicador  4.a.1;2;89.7;21;Maranhão;11085;2018;41120;Abastecimento de água;11085
Indicador  4.a.1;2;89.4;21;Maranhão;11085;2018;41121;Água Filtrada;11085
Indicador  4.a.1;2;100.0;21;Maranhão;11085;2019;41115;Total;11085
Indicador  4.a.1;2;98.3;21;Maranhão;11085;2019;41116;Acesso à eletricidade;11085
Indicador  4.a.1;2;3.1;21;Maranhão;11085;2019;41117;Acesso à internet;11085
Indicador  4.a.1;2;1494.0;21;Maranhão;11085;2019;41118;Computador para fins pedagógicos;11085
Indicador  4.a.1;2;35.0;21;Maranhão;11085;2019;41119;Infraestrutura adaptada para alunos com deficiência;11085
