ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_FONT_EMIS_GAS_EFEITO_EST;DESC_FONT_EMIS_GAS_EFEITO_EST
Indicador  13.2.2;1758;476279;1;Brasil;12341;2015;57204;Agropecuária
Indicador  13.2.2;1758;372693;1;Brasil;12341;2015;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;62802;1;Brasil;12341;2015;57206;Resíduos
Indicador  13.2.2;1758;454439;1;Brasil;12341;2015;57202;Energia
Indicador  13.2.2;1758;1473392;1;Brasil;12341;2016;0;Total
Indicador  13.2.2;1758;93701;1;Brasil;12341;2016;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;487170;1;Brasil;12341;2016;57204;Agropecuária
Indicador  13.2.2;1758;404497;1;Brasil;12341;2016;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;63292;1;Brasil;12341;2016;57206;Resíduos
Indicador  13.2.2;1758;424732;1;Brasil;12341;2016;57202;Energia
Indicador  13.2.2;1758;1363035;1;Brasil;12341;2017;0;Total
Indicador  13.2.2;1758;98161;1;Brasil;12341;2017;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;464502;1;Brasil;12341;2017;57204;Agropecuária
Indicador  13.2.2;1758;306444;1;Brasil;12341;2017;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;64425;1;Brasil;12341;2017;57206;Resíduos
Indicador  13.2.2;1758;429503;1;Brasil;12341;2017;57202;Energia
Indicador  13.2.2;1758;1368709;1;Brasil;12341;2018;0;Total
Indicador  13.2.2;1758;96575;1;Brasil;12341;2018;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;464178;1;Brasil;12341;2018;57204;Agropecuária
Indicador  13.2.2;1758;334502;1;Brasil;12341;2018;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;66661;1;Brasil;12341;2018;57206;Resíduos
Indicador  13.2.2;1758;406793;1;Brasil;12341;2018;57202;Energia
Indicador  13.2.2;1758;1602462;1;Brasil;12341;2019;0;Total
Indicador  13.2.2;1758;101463;1;Brasil;12341;2019;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;468371;1;Brasil;12341;2019;57204;Agropecuária
Indicador  13.2.2;1758;556818;1;Brasil;12341;2019;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;67467;1;Brasil;12341;2019;57206;Resíduos
Indicador  13.2.2;1758;408343;1;Brasil;12341;2019;57202;Energia
Indicador  13.2.2;1758;1675760;1;Brasil;12341;2020;0;Total
Indicador  13.2.2;1758;101936;1;Brasil;12341;2020;57203;Processos industriais e uso de produtos (IPPU)
Indicador  13.2.2;1758;477671;1;Brasil;12341;2020;57204;Agropecuária
Indicador  13.2.2;1758;637039;1;Brasil;12341;2020;57205;Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)
Indicador  13.2.2;1758;69630;1;Brasil;12341;2020;57206;Resíduos
Indicador  13.2.2;1758;389484;1;Brasil;12341;2020;57202;Energia
