ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SIT_SEG_ALI_DOM;DESC_SIT_SEG_ALI_DOM;SUB_INDICADOR
Indicador  2.1.2;2;5.2;1;Brasil;9593;2023;109101;Com insegurança alimentar moderada;9593
Indicador  2.1.2;2;3.7;1;Brasil;9593;2023;109102;Com insegurança alimentar grave;9593
Indicador  2.1.2;2;49.8;1;Brasil;9594;2004;109098;Com segurança alimentar;9594
Indicador  2.1.2;2;50.2;1;Brasil;9594;2004;109099;Com insegurança alimentar;9594
Indicador  2.1.2;2;22.5;1;Brasil;9594;2004;109100;Com insegurança alimentar leve;9594
Indicador  2.1.2;2;16.0;1;Brasil;9594;2004;109101;Com insegurança alimentar moderada;9594
Indicador  2.1.2;2;11.8;1;Brasil;9594;2004;109102;Com insegurança alimentar grave;9594
Indicador  2.1.2;2;59.7;1;Brasil;9594;2009;109098;Com segurança alimentar;9594
Indicador  2.1.2;2;40.3;1;Brasil;9594;2009;109099;Com insegurança alimentar;9594
Indicador  2.1.2;2;21.7;1;Brasil;9594;2009;109100;Com insegurança alimentar leve;9594
Indicador  2.1.2;2;10.0;1;Brasil;9594;2009;109101;Com insegurança alimentar moderada;9594
Indicador  2.1.2;2;8.6;1;Brasil;9594;2009;109102;Com insegurança alimentar grave;9594
Indicador  2.1.2;2;59.9;1;Brasil;9594;2013;109098;Com segurança alimentar;9594
Indicador  2.1.2;2;40.1;1;Brasil;9594;2013;109099;Com insegurança alimentar;9594
Indicador  2.1.2;2;24.3;1;Brasil;9594;2013;109100;Com insegurança alimentar leve;9594
Indicador  2.1.2;2;9.5;1;Brasil;9594;2013;109101;Com insegurança alimentar moderada;9594
Indicador  2.1.2;2;6.3;1;Brasil;9594;2013;109102;Com insegurança alimentar grave;9594
Indicador  2.1.2;2;47.9;1;Brasil;9594;2018;109098;Com segurança alimentar;9594
Indicador  2.1.2;2;52.1;1;Brasil;9594;2018;109099;Com insegurança alimentar;9594
Indicador  2.1.2;2;30.2;1;Brasil;9594;2018;109100;Com insegurança alimentar leve;9594
Indicador  2.1.2;2;13.5;1;Brasil;9594;2018;109101;Com insegurança alimentar moderada;9594
Indicador  2.1.2;2;8.4;1;Brasil;9594;2018;109102;Com insegurança alimentar grave;9594
Indicador  2.1.2;2;62.3;1;Brasil;9594;2023;109098;Com segurança alimentar;9594
Indicador  2.1.2;2;37.7;1;Brasil;9594;2023;109099;Com insegurança alimentar;9594
Indicador  2.1.2;2;24.0;1;Brasil;9594;2023;109100;Com insegurança alimentar leve;9594
Indicador  2.1.2;2;7.7;1;Brasil;9594;2023;109101;Com insegurança alimentar moderada;9594
Indicador  2.1.2;2;6.0;1;Brasil;9594;2023;109102;Com insegurança alimentar grave;9594
