ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3;1572;-;26;Pernambuco;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;26;Pernambuco;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;377.093;27;Alagoas;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;27;Alagoas;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;27;Alagoas;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;162.358;27;Alagoas;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;27;Alagoas;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;27;Alagoas;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;214.735;27;Alagoas;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;27;Alagoas;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;27;Alagoas;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;424.931;28;Sergipe;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;28;Sergipe;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;28;Sergipe;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;179.350;28;Sergipe;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;28;Sergipe;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;28;Sergipe;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;245.581;28;Sergipe;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;28;Sergipe;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;28;Sergipe;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;2430.770;29;Bahia;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;29;Bahia;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;29;Bahia;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;1055.262;29;Bahia;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;29;Bahia;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;29;Bahia;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;1375.508;29;Bahia;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;29;Bahia;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;29;Bahia;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;3077.380;31;Minas Gerais;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;31;Minas Gerais;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;31;Minas Gerais;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;1322.027;31;Minas Gerais;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;31;Minas Gerais;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;31;Minas Gerais;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;1755.353;31;Minas Gerais;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;31;Minas Gerais;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;31;Minas Gerais;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;574.364;32;Espírito Santo;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;32;Espírito Santo;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;32;Espírito Santo;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;242.789;32;Espírito Santo;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;32;Espírito Santo;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;32;Espírito Santo;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;331.574;32;Espírito Santo;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;32;Espírito Santo;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;32;Espírito Santo;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;2142.316;33;Rio de Janeiro;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;33;Rio de Janeiro;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;33;Rio de Janeiro;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;914.269;33;Rio de Janeiro;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;33;Rio de Janeiro;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;33;Rio de Janeiro;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;1228.047;33;Rio de Janeiro;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;33;Rio de Janeiro;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;33;Rio de Janeiro;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;7098.117;35;São Paulo;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;35;São Paulo;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;35;São Paulo;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;3173.603;35;São Paulo;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;35;São Paulo;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;35;São Paulo;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;3924.514;35;São Paulo;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;35;São Paulo;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;35;São Paulo;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;1634.131;41;Paraná;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;41;Paraná;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;41;Paraná;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;745.716;41;Paraná;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;41;Paraná;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;41;Paraná;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;888.415;41;Paraná;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;41;Paraná;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;41;Paraná;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;752.243;42;Santa Catarina;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;42;Santa Catarina;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;42;Santa Catarina;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;339.873;42;Santa Catarina;11392;2019;110095;Masculino;6795;Total;11392
Indicador  16.1.3;1572;-;42;Santa Catarina;11392;2019;110095;Masculino;1;Urbana;11392
Indicador  16.1.3;1572;-;42;Santa Catarina;11392;2019;110095;Masculino;2;Rural;11392
Indicador  16.1.3;1572;412.370;42;Santa Catarina;11392;2019;110096;Feminino;6795;Total;11392
Indicador  16.1.3;1572;-;42;Santa Catarina;11392;2019;110096;Feminino;1;Urbana;11392
Indicador  16.1.3;1572;-;42;Santa Catarina;11392;2019;110096;Feminino;2;Rural;11392
Indicador  16.1.3;1572;1505.798;43;Rio Grande do Sul;11392;2019;6794;Total;6795;Total;11392
Indicador  16.1.3;1572;-;43;Rio Grande do Sul;11392;2019;6794;Total;1;Urbana;11392
Indicador  16.1.3;1572;-;43;Rio Grande do Sul;11392;2019;6794;Total;2;Rural;11392
Indicador  16.1.3;1572;612.613;43;Rio Grande do Sul;11392;2019;110095;Masculino;6795;Total;11392
