ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_ATV_TRAB;DESC_ATV_TRAB
Indicador  8.3.1.2;2;53.0;23;Ceará;8883;2023;99444;Total
Indicador  8.3.1.2;2;95.1;23;Ceará;8883;2023;99160;Agrícola
Indicador  8.3.1.2;2;48.7;23;Ceará;8883;2023;99161;Não-agrícola
Indicador  8.3.1.2;2;54.8;23;Ceará;8883;2024;99444;Total
Indicador  8.3.1.2;2;92.3;23;Ceará;8883;2024;99160;Agrícola
Indicador  8.3.1.2;2;51.0;23;Ceará;8883;2024;99161;Não-agrícola
Indicador  8.3.1.2;2;46.7;24;Rio Grande do Norte;8883;2016;99444;Total
Indicador  8.3.1.2;2;85.6;24;Rio Grande do Norte;8883;2016;99160;Agrícola
Indicador  8.3.1.2;2;43.4;24;Rio Grande do Norte;8883;2016;99161;Não-agrícola
Indicador  8.3.1.2;2;48.9;24;Rio Grande do Norte;8883;2017;99444;Total
Indicador  8.3.1.2;2;88.3;24;Rio Grande do Norte;8883;2017;99160;Agrícola
Indicador  8.3.1.2;2;45.7;24;Rio Grande do Norte;8883;2017;99161;Não-agrícola
Indicador  8.3.1.2;2;48.5;24;Rio Grande do Norte;8883;2018;99444;Total
Indicador  8.3.1.2;2;85.9;24;Rio Grande do Norte;8883;2018;99160;Agrícola
Indicador  8.3.1.2;2;44.8;24;Rio Grande do Norte;8883;2018;99161;Não-agrícola
Indicador  8.3.1.2;2;47.4;24;Rio Grande do Norte;8883;2019;99444;Total
Indicador  8.3.1.2;2;86.1;24;Rio Grande do Norte;8883;2019;99160;Agrícola
Indicador  8.3.1.2;2;43.8;24;Rio Grande do Norte;8883;2019;99161;Não-agrícola
Indicador  8.3.1.2;2;42.0;24;Rio Grande do Norte;8883;2020;99444;Total
Indicador  8.3.1.2;2;83.4;24;Rio Grande do Norte;8883;2020;99160;Agrícola
Indicador  8.3.1.2;2;38.3;24;Rio Grande do Norte;8883;2020;99161;Não-agrícola
Indicador  8.3.1.2;2;45.3;24;Rio Grande do Norte;8883;2021;99444;Total
Indicador  8.3.1.2;2;85.1;24;Rio Grande do Norte;8883;2021;99160;Agrícola
Indicador  8.3.1.2;2;41.0;24;Rio Grande do Norte;8883;2021;99161;Não-agrícola
Indicador  8.3.1.2;2;40.0;24;Rio Grande do Norte;8883;2022;99444;Total
Indicador  8.3.1.2;2;82.1;24;Rio Grande do Norte;8883;2022;99160;Agrícola
Indicador  8.3.1.2;2;36.6;24;Rio Grande do Norte;8883;2022;99161;Não-agrícola
Indicador  8.3.1.2;2;44.7;24;Rio Grande do Norte;8883;2023;99444;Total
Indicador  8.3.1.2;2;87.7;24;Rio Grande do Norte;8883;2023;99160;Agrícola
Indicador  8.3.1.2;2;40.7;24;Rio Grande do Norte;8883;2023;99161;Não-agrícola
Indicador  8.3.1.2;2;42.7;24;Rio Grande do Norte;8883;2024;99444;Total
Indicador  8.3.1.2;2;88.9;24;Rio Grande do Norte;8883;2024;99160;Agrícola
Indicador  8.3.1.2;2;38.9;24;Rio Grande do Norte;8883;2024;99161;Não-agrícola
Indicador  8.3.1.2;2;51.0;25;Paraíba;8883;2016;99444;Total
Indicador  8.3.1.2;2;90.9;25;Paraíba;8883;2016;99160;Agrícola
Indicador  8.3.1.2;2;45.4;25;Paraíba;8883;2016;99161;Não-agrícola
Indicador  8.3.1.2;2;51.8;25;Paraíba;8883;2017;99444;Total
Indicador  8.3.1.2;2;90.2;25;Paraíba;8883;2017;99160;Agrícola
Indicador  8.3.1.2;2;46.6;25;Paraíba;8883;2017;99161;Não-agrícola
Indicador  8.3.1.2;2;53.8;25;Paraíba;8883;2018;99444;Total
Indicador  8.3.1.2;2;87.9;25;Paraíba;8883;2018;99160;Agrícola
Indicador  8.3.1.2;2;49.0;25;Paraíba;8883;2018;99161;Não-agrícola
Indicador  8.3.1.2;2;54.4;25;Paraíba;8883;2019;99444;Total
Indicador  8.3.1.2;2;90.3;25;Paraíba;8883;2019;99160;Agrícola
Indicador  8.3.1.2;2;49.5;25;Paraíba;8883;2019;99161;Não-agrícola
Indicador  8.3.1.2;2;47.6;25;Paraíba;8883;2020;99444;Total
Indicador  8.3.1.2;2;90.4;25;Paraíba;8883;2020;99160;Agrícola
Indicador  8.3.1.2;2;42.1;25;Paraíba;8883;2020;99161;Não-agrícola
Indicador  8.3.1.2;2;50.8;25;Paraíba;8883;2021;99444;Total
Indicador  8.3.1.2;2;96.5;25;Paraíba;8883;2021;99160;Agrícola
Indicador  8.3.1.2;2;44.2;25;Paraíba;8883;2021;99161;Não-agrícola
Indicador  8.3.1.2;2;50.4;25;Paraíba;8883;2022;99444;Total
Indicador  8.3.1.2;2;83.8;25;Paraíba;8883;2022;99160;Agrícola
Indicador  8.3.1.2;2;45.1;25;Paraíba;8883;2022;99161;Não-agrícola
Indicador  8.3.1.2;2;49.7;25;Paraíba;8883;2023;99444;Total
Indicador  8.3.1.2;2;88.4;25;Paraíba;8883;2023;99160;Agrícola
Indicador  8.3.1.2;2;45.0;25;Paraíba;8883;2023;99161;Não-agrícola
Indicador  8.3.1.2;2;50.5;25;Paraíba;8883;2024;99444;Total
Indicador  8.3.1.2;2;93.1;25;Paraíba;8883;2024;99160;Agrícola
Indicador  8.3.1.2;2;45.7;25;Paraíba;8883;2024;99161;Não-agrícola
Indicador  8.3.1.2;2;46.9;26;Pernambuco;8883;2016;99444;Total
Indicador  8.3.1.2;2;85.1;26;Pernambuco;8883;2016;99160;Agrícola
Indicador  8.3.1.2;2;41.8;26;Pernambuco;8883;2016;99161;Não-agrícola
Indicador  8.3.1.2;2;49.1;26;Pernambuco;8883;2017;99444;Total
Indicador  8.3.1.2;2;88.5;26;Pernambuco;8883;2017;99160;Agrícola
Indicador  8.3.1.2;2;45.3;26;Pernambuco;8883;2017;99161;Não-agrícola
Indicador  8.3.1.2;2;48.3;26;Pernambuco;8883;2018;99444;Total
Indicador  8.3.1.2;2;88.1;26;Pernambuco;8883;2018;99160;Agrícola
Indicador  8.3.1.2;2;44.4;26;Pernambuco;8883;2018;99161;Não-agrícola
Indicador  8.3.1.2;2;50.6;26;Pernambuco;8883;2019;99444;Total
Indicador  8.3.1.2;2;92.7;26;Pernambuco;8883;2019;99160;Agrícola
Indicador  8.3.1.2;2;46.4;26;Pernambuco;8883;2019;99161;Não-agrícola
Indicador  8.3.1.2;2;45.7;26;Pernambuco;8883;2020;99444;Total
Indicador  8.3.1.2;2;88.7;26;Pernambuco;8883;2020;99160;Agrícola
Indicador  8.3.1.2;2;41.5;26;Pernambuco;8883;2020;99161;Não-agrícola
Indicador  8.3.1.2;2;51.2;26;Pernambuco;8883;2021;99444;Total
Indicador  8.3.1.2;2;89.1;26;Pernambuco;8883;2021;99160;Agrícola
Indicador  8.3.1.2;2;45.9;26;Pernambuco;8883;2021;99161;Não-agrícola
Indicador  8.3.1.2;2;51.9;26;Pernambuco;8883;2022;99444;Total
Indicador  8.3.1.2;2;87.4;26;Pernambuco;8883;2022;99160;Agrícola
Indicador  8.3.1.2;2;47.6;26;Pernambuco;8883;2022;99161;Não-agrícola
Indicador  8.3.1.2;2;50.1;26;Pernambuco;8883;2023;99444;Total
Indicador  8.3.1.2;2;87.2;26;Pernambuco;8883;2023;99160;Agrícola
Indicador  8.3.1.2;2;45.7;26;Pernambuco;8883;2023;99161;Não-agrícola
Indicador  8.3.1.2;2;49.4;26;Pernambuco;8883;2024;99444;Total
Indicador  8.3.1.2;2;80.9;26;Pernambuco;8883;2024;99160;Agrícola
Indicador  8.3.1.2;2;45.9;26;Pernambuco;8883;2024;99161;Não-agrícola
Indicador  8.3.1.2;2;46.3;27;Alagoas;8883;2016;99444;Total
Indicador  8.3.1.2;2;75.6;27;Alagoas;8883;2016;99160;Agrícola
Indicador  8.3.1.2;2;41.0;27;Alagoas;8883;2016;99161;Não-agrícola
Indicador  8.3.1.2;2;46.9;27;Alagoas;8883;2017;99444;Total
Indicador  8.3.1.2;2;78.0;27;Alagoas;8883;2017;99160;Agrícola
Indicador  8.3.1.2;2;41.8;27;Alagoas;8883;2017;99161;Não-agrícola
Indicador  8.3.1.2;2;44.1;27;Alagoas;8883;2018;99444;Total
Indicador  8.3.1.2;2;69.8;27;Alagoas;8883;2018;99160;Agrícola
Indicador  8.3.1.2;2;40.8;27;Alagoas;8883;2018;99161;Não-agrícola
Indicador  8.3.1.2;2;46.4;27;Alagoas;8883;2019;99444;Total
Indicador  8.3.1.2;2;71.1;27;Alagoas;8883;2019;99160;Agrícola
Indicador  8.3.1.2;2;43.2;27;Alagoas;8883;2019;99161;Não-agrícola
Indicador  8.3.1.2;2;46.2;27;Alagoas;8883;2020;99444;Total
Indicador  8.3.1.2;2;72.3;27;Alagoas;8883;2020;99160;Agrícola
Indicador  8.3.1.2;2;43.1;27;Alagoas;8883;2020;99161;Não-agrícola
Indicador  8.3.1.2;2;47.5;27;Alagoas;8883;2021;99444;Total
Indicador  8.3.1.2;2;70.2;27;Alagoas;8883;2021;99160;Agrícola
Indicador  8.3.1.2;2;44.4;27;Alagoas;8883;2021;99161;Não-agrícola
Indicador  8.3.1.2;2;45.8;27;Alagoas;8883;2022;99444;Total
Indicador  8.3.1.2;2;67.6;27;Alagoas;8883;2022;99160;Agrícola
Indicador  8.3.1.2;2;43.7;27;Alagoas;8883;2022;99161;Não-agrícola
Indicador  8.3.1.2;2;45.7;27;Alagoas;8883;2023;99444;Total
Indicador  8.3.1.2;2;74.8;27;Alagoas;8883;2023;99160;Agrícola
Indicador  8.3.1.2;2;42.6;27;Alagoas;8883;2023;99161;Não-agrícola
Indicador  8.3.1.2;2;46.8;27;Alagoas;8883;2024;99444;Total
Indicador  8.3.1.2;2;75.3;27;Alagoas;8883;2024;99160;Agrícola
Indicador  8.3.1.2;2;43.5;27;Alagoas;8883;2024;99161;Não-agrícola
Indicador  8.3.1.2;2;50.0;28;Sergipe;8883;2016;99444;Total
Indicador  8.3.1.2;2;91.7;28;Sergipe;8883;2016;99160;Agrícola
Indicador  8.3.1.2;2;41.4;28;Sergipe;8883;2016;99161;Não-agrícola
Indicador  8.3.1.2;2;53.2;28;Sergipe;8883;2017;99444;Total
Indicador  8.3.1.2;2;90.4;28;Sergipe;8883;2017;99160;Agrícola
Indicador  8.3.1.2;2;46.5;28;Sergipe;8883;2017;99161;Não-agrícola
Indicador  8.3.1.2;2;52.6;28;Sergipe;8883;2018;99444;Total
Indicador  8.3.1.2;2;93.5;28;Sergipe;8883;2018;99160;Agrícola
Indicador  8.3.1.2;2;46.2;28;Sergipe;8883;2018;99161;Não-agrícola
Indicador  8.3.1.2;2;54.4;28;Sergipe;8883;2019;99444;Total
Indicador  8.3.1.2;2;91.5;28;Sergipe;8883;2019;99160;Agrícola
Indicador  8.3.1.2;2;48.1;28;Sergipe;8883;2019;99161;Não-agrícola
Indicador  8.3.1.2;2;48.1;28;Sergipe;8883;2020;99444;Total
Indicador  8.3.1.2;2;91.4;28;Sergipe;8883;2020;99160;Agrícola
Indicador  8.3.1.2;2;40.9;28;Sergipe;8883;2020;99161;Não-agrícola
Indicador  8.3.1.2;2;52.8;28;Sergipe;8883;2021;99444;Total
Indicador  8.3.1.2;2;93.3;28;Sergipe;8883;2021;99160;Agrícola
Indicador  8.3.1.2;2;45.7;28;Sergipe;8883;2021;99161;Não-agrícola
Indicador  8.3.1.2;2;52.3;28;Sergipe;8883;2022;99444;Total
Indicador  8.3.1.2;2;91.0;28;Sergipe;8883;2022;99160;Agrícola
Indicador  8.3.1.2;2;46.6;28;Sergipe;8883;2022;99161;Não-agrícola
Indicador  8.3.1.2;2;51.8;28;Sergipe;8883;2023;99444;Total
Indicador  8.3.1.2;2;91.9;28;Sergipe;8883;2023;99160;Agrícola
Indicador  8.3.1.2;2;45.5;28;Sergipe;8883;2023;99161;Não-agrícola
Indicador  8.3.1.2;2;49.6;28;Sergipe;8883;2024;99444;Total
Indicador  8.3.1.2;2;90.9;28;Sergipe;8883;2024;99160;Agrícola
Indicador  8.3.1.2;2;44.7;28;Sergipe;8883;2024;99161;Não-agrícola
Indicador  8.3.1.2;2;54.8;29;Bahia;8883;2016;99444;Total
Indicador  8.3.1.2;2;90.3;29;Bahia;8883;2016;99160;Agrícola
Indicador  8.3.1.2;2;47.1;29;Bahia;8883;2016;99161;Não-agrícola
Indicador  8.3.1.2;2;54.4;29;Bahia;8883;2017;99444;Total
Indicador  8.3.1.2;2;90.3;29;Bahia;8883;2017;99160;Agrícola
Indicador  8.3.1.2;2;47.5;29;Bahia;8883;2017;99161;Não-agrícola
Indicador  8.3.1.2;2;55.1;29;Bahia;8883;2018;99444;Total
Indicador  8.3.1.2;2;90.4;29;Bahia;8883;2018;99160;Agrícola
Indicador  8.3.1.2;2;48.8;29;Bahia;8883;2018;99161;Não-agrícola
Indicador  8.3.1.2;2;54.6;29;Bahia;8883;2019;99444;Total
Indicador  8.3.1.2;2;88.1;29;Bahia;8883;2019;99160;Agrícola
Indicador  8.3.1.2;2;48.1;29;Bahia;8883;2019;99161;Não-agrícola
Indicador  8.3.1.2;2;48.6;29;Bahia;8883;2020;99444;Total
Indicador  8.3.1.2;2;84.7;29;Bahia;8883;2020;99160;Agrícola
Indicador  8.3.1.2;2;41.5;29;Bahia;8883;2020;99161;Não-agrícola
Indicador  8.3.1.2;2;54.3;29;Bahia;8883;2021;99444;Total
