ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE
Indicador  8.5.2.3;2;5.3;11;Rondônia;10004;2023;100052;18 a 24 anos
Indicador  8.5.2.3;2;3.9;11;Rondônia;10004;2023;1145;25 a 29 anos
Indicador  8.5.2.3;2;4.5;11;Rondônia;10004;2023;3299;30 a 39 anos
Indicador  8.5.2.3;2;1.6;11;Rondônia;10004;2023;3300;40 a 49 anos
Indicador  8.5.2.3;2;1.6;11;Rondônia;10004;2023;3301;50 a 59 anos
Indicador  8.5.2.3;2;0.4;11;Rondônia;10004;2023;3302;60 anos ou mais
Indicador  8.5.2.3;2;3.2;11;Rondônia;10004;2024;95253;Total
Indicador  8.5.2.3;2;28.8;11;Rondônia;10004;2024;2792;15 a 17 anos
Indicador  8.5.2.3;2;6.8;11;Rondônia;10004;2024;100052;18 a 24 anos
Indicador  8.5.2.3;2;5.1;11;Rondônia;10004;2024;1145;25 a 29 anos
Indicador  8.5.2.3;2;2.2;11;Rondônia;10004;2024;3299;30 a 39 anos
Indicador  8.5.2.3;2;1.5;11;Rondônia;10004;2024;3300;40 a 49 anos
Indicador  8.5.2.3;2;1.7;11;Rondônia;10004;2024;3301;50 a 59 anos
Indicador  8.5.2.3;2;-;11;Rondônia;10004;2024;3302;60 anos ou mais
Indicador  8.5.2.3;2;9.1;12;Acre;10004;2012;95253;Total
Indicador  8.5.2.3;2;24.3;12;Acre;10004;2012;2792;15 a 17 anos
Indicador  8.5.2.3;2;20.3;12;Acre;10004;2012;100052;18 a 24 anos
Indicador  8.5.2.3;2;10.3;12;Acre;10004;2012;1145;25 a 29 anos
Indicador  8.5.2.3;2;5.2;12;Acre;10004;2012;3299;30 a 39 anos
Indicador  8.5.2.3;2;4.1;12;Acre;10004;2012;3300;40 a 49 anos
Indicador  8.5.2.3;2;4.0;12;Acre;10004;2012;3301;50 a 59 anos
