ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE;SUB_INDICADOR
Indicador  3.6.1;1736;33.5;11;Rondônia;9734;2018;4;Homens;1146;30 a 34 anos;9734
Indicador  3.6.1;1736;34.6;11;Rondônia;9734;2018;4;Homens;1147;35 a 39 anos;9734
Indicador  3.6.1;1736;52.5;11;Rondônia;9734;2018;4;Homens;1148;40 a 44 anos;9734
Indicador  3.6.1;1736;30.7;11;Rondônia;9734;2018;4;Homens;1149;45 a 49 anos;9734
Indicador  3.6.1;1736;41.9;11;Rondônia;9734;2018;4;Homens;1150;50 a 54 anos;9734
Indicador  3.6.1;1736;58.6;11;Rondônia;9734;2018;4;Homens;1151;55 a 59 anos;9734
Indicador  3.6.1;1736;72.2;11;Rondônia;9734;2018;4;Homens;3302;60 anos ou mais;9734
Indicador  3.6.1;1736;9.9;11;Rondônia;9734;2018;5;Mulheres;95253;Total;9734
Indicador  3.6.1;1736;5.9;11;Rondônia;9734;2018;5;Mulheres;1140;0 a 4 anos;9734
Indicador  3.6.1;1736;3.1;11;Rondônia;9734;2018;5;Mulheres;1141;5 a 9 anos;9734
Indicador  3.6.1;1736;4.3;11;Rondônia;9734;2018;5;Mulheres;1142;10 a 14 anos;9734
Indicador  3.6.1;1736;5.3;11;Rondônia;9734;2018;5;Mulheres;1143;15 a 19 anos;9734
Indicador  3.6.1;1736;11.6;11;Rondônia;9734;2018;5;Mulheres;1144;20 a 24 anos;9734
Indicador  3.6.1;1736;6.5;11;Rondônia;9734;2018;5;Mulheres;1145;25 a 29 anos;9734
Indicador  3.6.1;1736;5.2;11;Rondônia;9734;2018;5;Mulheres;1146;30 a 34 anos;9734
Indicador  3.6.1;1736;11.1;11;Rondônia;9734;2018;5;Mulheres;1147;35 a 39 anos;9734
Indicador  3.6.1;1736;15.7;11;Rondônia;9734;2018;5;Mulheres;1148;40 a 44 anos;9734
Indicador  3.6.1;1736;16.2;11;Rondônia;9734;2018;5;Mulheres;1149;45 a 49 anos;9734
Indicador  3.6.1;1736;16.8;11;Rondônia;9734;2018;5;Mulheres;1150;50 a 54 anos;9734
Indicador  3.6.1;1736;13.0;11;Rondônia;9734;2018;5;Mulheres;1151;55 a 59 anos;9734
Indicador  3.6.1;1736;18.7;11;Rondônia;9734;2018;5;Mulheres;3302;60 anos ou mais;9734
