ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_CLAS_PERC_REND_DOM_PER_CAP;DESC_CLAS_PERC_REND_DOM_PER_CAP
Indicador  4.2.1.4;2;73.7;16;Amapá;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;16;Amapá;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;83.8;16;Amapá;9310;2016;49243;Total
Indicador  4.2.1.4;2;60.9;16;Amapá;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;92.1;16;Amapá;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;76.2;16;Amapá;9310;2017;49243;Total
Indicador  4.2.1.4;2;79.0;16;Amapá;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;59.7;16;Amapá;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;78.1;16;Amapá;9310;2018;49243;Total
Indicador  4.2.1.4;2;79.4;16;Amapá;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;16;Amapá;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;85.9;16;Amapá;9310;2019;49243;Total
Indicador  4.2.1.4;2;96.8;17;Tocantins;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;17;Tocantins;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;94.9;17;Tocantins;9310;2016;49243;Total
Indicador  4.2.1.4;2;95.8;17;Tocantins;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;17;Tocantins;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;95.3;17;Tocantins;9310;2017;49243;Total
Indicador  4.2.1.4;2;97.5;17;Tocantins;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;17;Tocantins;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;98.1;17;Tocantins;9310;2018;49243;Total
Indicador  4.2.1.4;2;96.8;17;Tocantins;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;17;Tocantins;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;98.3;17;Tocantins;9310;2019;49243;Total
Indicador  4.2.1.4;2;96.9;21;Maranhão;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;92.5;21;Maranhão;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;97.7;21;Maranhão;9310;2016;49243;Total
Indicador  4.2.1.4;2;98.4;21;Maranhão;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;21;Maranhão;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;98.4;21;Maranhão;9310;2017;49243;Total
Indicador  4.2.1.4;2;97.8;21;Maranhão;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;21;Maranhão;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;98.2;21;Maranhão;9310;2018;49243;Total
