ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_GRUP_OCUP_TRAB_PNAD;DESC_GRUP_OCUP_TRAB_PNAD
Indicador  8.5.1.3;1769;13.8;11;Rondônia;8828;2012;33356;Total
Indicador  8.5.1.3;1769;22.2;11;Rondônia;8828;2012;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;30.9;11;Rondônia;8828;2012;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;20.4;11;Rondônia;8828;2012;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;14.6;11;Rondônia;8828;2012;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;12.2;11;Rondônia;8828;2012;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;10.5;11;Rondônia;8828;2012;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;11.9;11;Rondônia;8828;2012;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;12.2;11;Rondônia;8828;2012;33377;Operadores de instalações e máquinas e montadores
Indicador  8.5.1.3;1769;7.9;11;Rondônia;8828;2012;33378;Ocupações elementares
Indicador  8.5.1.3;1769;21.7;11;Rondônia;8828;2012;33379;Membros das forças armadas, policiais e bombeiros militares
Indicador  8.5.1.3;1769;14.0;11;Rondônia;8828;2013;33356;Total
Indicador  8.5.1.3;1769;24.5;11;Rondônia;8828;2013;33370;Diretores e gerentes
Indicador  8.5.1.3;1769;30.0;11;Rondônia;8828;2013;33371;Profissionais das ciências e intelectuais
Indicador  8.5.1.3;1769;19.4;11;Rondônia;8828;2013;33372;Técnicos e profissionais de nível médio
Indicador  8.5.1.3;1769;13.9;11;Rondônia;8828;2013;33373;Trabalhadores de apoio administrativo
Indicador  8.5.1.3;1769;12.6;11;Rondônia;8828;2013;33374;Trabalhadores dos serviços, vendedores dos comércios e mercados
Indicador  8.5.1.3;1769;10.6;11;Rondônia;8828;2013;33375;Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca
Indicador  8.5.1.3;1769;12.2;11;Rondônia;8828;2013;33376;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios
Indicador  8.5.1.3;1769;12.7;11;Rondônia;8828;2013;33377;Operadores de instalações e máquinas e montadores
