ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE
Indicador  16.1.1.3;45;0.43;1;Brasil;9502;2022;4;Homens;1141;5 a 9 anos
Indicador  16.1.1.3;45;2.70;1;Brasil;9502;2022;4;Homens;1142;10 a 14 anos
Indicador  16.1.1.3;45;58.02;1;Brasil;9502;2022;4;Homens;1143;15 a 19 anos
Indicador  16.1.1.3;45;99.07;1;Brasil;9502;2022;4;Homens;1144;20 a 24 anos
Indicador  16.1.1.3;45;82.33;1;Brasil;9502;2022;4;Homens;1145;25 a 29 anos
Indicador  16.1.1.3;45;66.60;1;Brasil;9502;2022;4;Homens;1146;30 a 34 anos
Indicador  16.1.1.3;45;50.97;1;Brasil;9502;2022;4;Homens;1147;35 a 39 anos
Indicador  16.1.1.3;45;42.40;1;Brasil;9502;2022;4;Homens;1148;40 a 44 anos
Indicador  16.1.1.3;45;33.04;1;Brasil;9502;2022;4;Homens;1149;45 a 49 anos
Indicador  16.1.1.3;45;23.52;1;Brasil;9502;2022;4;Homens;1150;50 a 54 anos
Indicador  16.1.1.3;45;19.79;1;Brasil;9502;2022;4;Homens;1151;55 a 59 anos
Indicador  16.1.1.3;45;11.84;1;Brasil;9502;2022;4;Homens;3302;60 anos ou mais
Indicador  16.1.1.3;45;1.00;1;Brasil;9502;2022;5;Mulheres;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.45;1;Brasil;9502;2022;5;Mulheres;1141;5 a 9 anos
Indicador  16.1.1.3;45;1.05;1;Brasil;9502;2022;5;Mulheres;1142;10 a 14 anos
Indicador  16.1.1.3;45;4.18;1;Brasil;9502;2022;5;Mulheres;1143;15 a 19 anos
Indicador  16.1.1.3;45;6.42;1;Brasil;9502;2022;5;Mulheres;1144;20 a 24 anos
Indicador  16.1.1.3;45;6.24;1;Brasil;9502;2022;5;Mulheres;1145;25 a 29 anos
Indicador  16.1.1.3;45;5.42;1;Brasil;9502;2022;5;Mulheres;1146;30 a 34 anos
Indicador  16.1.1.3;45;5.47;1;Brasil;9502;2022;5;Mulheres;1147;35 a 39 anos
Indicador  16.1.1.3;45;4.97;1;Brasil;9502;2022;5;Mulheres;1148;40 a 44 anos
Indicador  16.1.1.3;45;3.61;1;Brasil;9502;2022;5;Mulheres;1149;45 a 49 anos
Indicador  16.1.1.3;45;2.85;1;Brasil;9502;2022;5;Mulheres;1150;50 a 54 anos
