ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_NIV_INSTR;DESC_NIV_INSTR;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3.2;1572;163.634;24;Rio Grande do Norte;11392;2019;9495;Médio completo e superior incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;24;Rio Grande do Norte;11392;2019;9495;Médio completo e superior incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;24;Rio Grande do Norte;11392;2019;9495;Médio completo e superior incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;67.211;24;Rio Grande do Norte;11392;2019;99713;Superior completo;6795;Total;11392
Indicador  16.1.3.2;1572;-;24;Rio Grande do Norte;11392;2019;99713;Superior completo;1;Urbana;11392
Indicador  16.1.3.2;1572;-;24;Rio Grande do Norte;11392;2019;99713;Superior completo;2;Rural;11392
Indicador  16.1.3.2;1572;469.372;25;Paraíba;11392;2019;120704;Total;6795;Total;11392
Indicador  16.1.3.2;1572;-;25;Paraíba;11392;2019;120704;Total;1;Urbana;11392
Indicador  16.1.3.2;1572;-;25;Paraíba;11392;2019;120704;Total;2;Rural;11392
Indicador  16.1.3.2;1572;193.765;25;Paraíba;11392;2019;9493;Sem instrução e fundamental incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;25;Paraíba;11392;2019;9493;Sem instrução e fundamental incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;25;Paraíba;11392;2019;9493;Sem instrução e fundamental incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;74.438;25;Paraíba;11392;2019;9494;Fundamental completo e médio incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;25;Paraíba;11392;2019;9494;Fundamental completo e médio incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;25;Paraíba;11392;2019;9494;Fundamental completo e médio incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;149.550;25;Paraíba;11392;2019;9495;Médio completo e superior incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;25;Paraíba;11392;2019;9495;Médio completo e superior incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;25;Paraíba;11392;2019;9495;Médio completo e superior incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;51.619;25;Paraíba;11392;2019;99713;Superior completo;6795;Total;11392
Indicador  16.1.3.2;1572;-;25;Paraíba;11392;2019;99713;Superior completo;1;Urbana;11392
Indicador  16.1.3.2;1572;-;25;Paraíba;11392;2019;99713;Superior completo;2;Rural;11392
Indicador  16.1.3.2;1572;1120.465;26;Pernambuco;11392;2019;120704;Total;6795;Total;11392
Indicador  16.1.3.2;1572;-;26;Pernambuco;11392;2019;120704;Total;1;Urbana;11392
Indicador  16.1.3.2;1572;-;26;Pernambuco;11392;2019;120704;Total;2;Rural;11392
Indicador  16.1.3.2;1572;394.608;26;Pernambuco;11392;2019;9493;Sem instrução e fundamental incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;26;Pernambuco;11392;2019;9493;Sem instrução e fundamental incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;26;Pernambuco;11392;2019;9493;Sem instrução e fundamental incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;128.727;26;Pernambuco;11392;2019;9494;Fundamental completo e médio incompleto;6795;Total;11392
Indicador  16.1.3.2;1572;-;26;Pernambuco;11392;2019;9494;Fundamental completo e médio incompleto;1;Urbana;11392
Indicador  16.1.3.2;1572;-;26;Pernambuco;11392;2019;9494;Fundamental completo e médio incompleto;2;Rural;11392
Indicador  16.1.3.2;1572;455.444;26;Pernambuco;11392;2019;9495;Médio completo e superior incompleto;6795;Total;11392
