ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_SIT_DOM;DESC_SIT_DOM
Indicador  5.4.1.3;2;9.5;13;Amazonas;9471;2019;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;9.4;13;Amazonas;9471;2019;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;8.6;13;Amazonas;9471;2022;6794;Total;6795;Total
Indicador  5.4.1.3;2;8.8;13;Amazonas;9471;2022;6794;Total;1;Urbana
Indicador  5.4.1.3;2;7.5;13;Amazonas;9471;2022;6794;Total;2;Rural
Indicador  5.4.1.3;2;6.1;13;Amazonas;9471;2022;4;Homens;6795;Total
Indicador  5.4.1.3;2;6.3;13;Amazonas;9471;2022;4;Homens;1;Urbana
Indicador  5.4.1.3;2;5.4;13;Amazonas;9471;2022;4;Homens;2;Rural
Indicador  5.4.1.3;2;11.0;13;Amazonas;9471;2022;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;11.2;13;Amazonas;9471;2022;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;10.1;13;Amazonas;9471;2022;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;7.5;14;Roraima;9471;2016;6794;Total;6795;Total
Indicador  5.4.1.3;2;7.2;14;Roraima;9471;2016;6794;Total;1;Urbana
Indicador  5.4.1.3;2;9.2;14;Roraima;9471;2016;6794;Total;2;Rural
Indicador  5.4.1.3;2;5.0;14;Roraima;9471;2016;4;Homens;6795;Total
Indicador  5.4.1.3;2;4.8;14;Roraima;9471;2016;4;Homens;1;Urbana
Indicador  5.4.1.3;2;5.9;14;Roraima;9471;2016;4;Homens;2;Rural
Indicador  5.4.1.3;2;10.1;14;Roraima;9471;2016;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;9.6;14;Roraima;9471;2016;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;13.2;14;Roraima;9471;2016;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;6.7;14;Roraima;9471;2017;6794;Total;6795;Total
Indicador  5.4.1.3;2;6.7;14;Roraima;9471;2017;6794;Total;1;Urbana
Indicador  5.4.1.3;2;6.6;14;Roraima;9471;2017;6794;Total;2;Rural
Indicador  5.4.1.3;2;4.4;14;Roraima;9471;2017;4;Homens;6795;Total
Indicador  5.4.1.3;2;4.5;14;Roraima;9471;2017;4;Homens;1;Urbana
Indicador  5.4.1.3;2;4.0;14;Roraima;9471;2017;4;Homens;2;Rural
Indicador  5.4.1.3;2;8.9;14;Roraima;9471;2017;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;8.8;14;Roraima;9471;2017;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;9.7;14;Roraima;9471;2017;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;6.7;14;Roraima;9471;2018;6794;Total;6795;Total
Indicador  5.4.1.3;2;6.5;14;Roraima;9471;2018;6794;Total;1;Urbana
Indicador  5.4.1.3;2;7.8;14;Roraima;9471;2018;6794;Total;2;Rural
Indicador  5.4.1.3;2;4.6;14;Roraima;9471;2018;4;Homens;6795;Total
Indicador  5.4.1.3;2;4.5;14;Roraima;9471;2018;4;Homens;1;Urbana
Indicador  5.4.1.3;2;4.9;14;Roraima;9471;2018;4;Homens;2;Rural
Indicador  5.4.1.3;2;8.9;14;Roraima;9471;2018;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;8.5;14;Roraima;9471;2018;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;11.5;14;Roraima;9471;2018;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;7.8;14;Roraima;9471;2019;6794;Total;6795;Total
Indicador  5.4.1.3;2;7.8;14;Roraima;9471;2019;6794;Total;1;Urbana
Indicador  5.4.1.3;2;7.6;14;Roraima;9471;2019;6794;Total;2;Rural
Indicador  5.4.1.3;2;5.3;14;Roraima;9471;2019;4;Homens;6795;Total
Indicador  5.4.1.3;2;5.3;14;Roraima;9471;2019;4;Homens;1;Urbana
Indicador  5.4.1.3;2;4.9;14;Roraima;9471;2019;4;Homens;2;Rural
Indicador  5.4.1.3;2;10.3;14;Roraima;9471;2019;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;10.2;14;Roraima;9471;2019;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;11.1;14;Roraima;9471;2019;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;6.5;14;Roraima;9471;2022;6794;Total;6795;Total
Indicador  5.4.1.3;2;6.3;14;Roraima;9471;2022;6794;Total;1;Urbana
Indicador  5.4.1.3;2;7.6;14;Roraima;9471;2022;6794;Total;2;Rural
Indicador  5.4.1.3;2;4.8;14;Roraima;9471;2022;4;Homens;6795;Total
Indicador  5.4.1.3;2;4.6;14;Roraima;9471;2022;4;Homens;1;Urbana
Indicador  5.4.1.3;2;6.1;14;Roraima;9471;2022;4;Homens;2;Rural
Indicador  5.4.1.3;2;8.0;14;Roraima;9471;2022;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;7.8;14;Roraima;9471;2022;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;9.3;14;Roraima;9471;2022;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;8.4;15;Pará;9471;2016;6794;Total;6795;Total
Indicador  5.4.1.3;2;8.8;15;Pará;9471;2016;6794;Total;1;Urbana
Indicador  5.4.1.3;2;7.5;15;Pará;9471;2016;6794;Total;2;Rural
Indicador  5.4.1.3;2;4.9;15;Pará;9471;2016;4;Homens;6795;Total
Indicador  5.4.1.3;2;5.3;15;Pará;9471;2016;4;Homens;1;Urbana
Indicador  5.4.1.3;2;4.1;15;Pará;9471;2016;4;Homens;2;Rural
Indicador  5.4.1.3;2;11.8;15;Pará;9471;2016;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;12.0;15;Pará;9471;2016;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;11.2;15;Pará;9471;2016;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;8.5;15;Pará;9471;2017;6794;Total;6795;Total
Indicador  5.4.1.3;2;8.6;15;Pará;9471;2017;6794;Total;1;Urbana
Indicador  5.4.1.3;2;8.1;15;Pará;9471;2017;6794;Total;2;Rural
Indicador  5.4.1.3;2;5.0;15;Pará;9471;2017;4;Homens;6795;Total
Indicador  5.4.1.3;2;5.1;15;Pará;9471;2017;4;Homens;1;Urbana
Indicador  5.4.1.3;2;4.6;15;Pará;9471;2017;4;Homens;2;Rural
Indicador  5.4.1.3;2;11.8;15;Pará;9471;2017;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;11.7;15;Pará;9471;2017;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;12.1;15;Pará;9471;2017;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;8.9;15;Pará;9471;2018;6794;Total;6795;Total
Indicador  5.4.1.3;2;9.1;15;Pará;9471;2018;6794;Total;1;Urbana
Indicador  5.4.1.3;2;8.5;15;Pará;9471;2018;6794;Total;2;Rural
Indicador  5.4.1.3;2;5.6;15;Pará;9471;2018;4;Homens;6795;Total
Indicador  5.4.1.3;2;5.8;15;Pará;9471;2018;4;Homens;1;Urbana
Indicador  5.4.1.3;2;4.9;15;Pará;9471;2018;4;Homens;2;Rural
Indicador  5.4.1.3;2;12.3;15;Pará;9471;2018;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;12.2;15;Pará;9471;2018;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;12.4;15;Pará;9471;2018;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;9.1;15;Pará;9471;2019;6794;Total;6795;Total
Indicador  5.4.1.3;2;9.0;15;Pará;9471;2019;6794;Total;1;Urbana
Indicador  5.4.1.3;2;9.2;15;Pará;9471;2019;6794;Total;2;Rural
Indicador  5.4.1.3;2;5.4;15;Pará;9471;2019;4;Homens;6795;Total
Indicador  5.4.1.3;2;5.7;15;Pará;9471;2019;4;Homens;1;Urbana
Indicador  5.4.1.3;2;4.8;15;Pará;9471;2019;4;Homens;2;Rural
Indicador  5.4.1.3;2;12.7;15;Pará;9471;2019;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;12.1;15;Pará;9471;2019;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;14.3;15;Pará;9471;2019;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;8.5;15;Pará;9471;2022;6794;Total;6795;Total
Indicador  5.4.1.3;2;8.6;15;Pará;9471;2022;6794;Total;1;Urbana
Indicador  5.4.1.3;2;8.4;15;Pará;9471;2022;6794;Total;2;Rural
Indicador  5.4.1.3;2;5.4;15;Pará;9471;2022;4;Homens;6795;Total
Indicador  5.4.1.3;2;5.5;15;Pará;9471;2022;4;Homens;1;Urbana
Indicador  5.4.1.3;2;5.0;15;Pará;9471;2022;4;Homens;2;Rural
Indicador  5.4.1.3;2;11.8;15;Pará;9471;2022;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;11.6;15;Pará;9471;2022;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;12.4;15;Pará;9471;2022;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;6.6;16;Amapá;9471;2016;6794;Total;6795;Total
Indicador  5.4.1.3;2;6.7;16;Amapá;9471;2016;6794;Total;1;Urbana
Indicador  5.4.1.3;2;5.5;16;Amapá;9471;2016;6794;Total;2;Rural
Indicador  5.4.1.3;2;4.6;16;Amapá;9471;2016;4;Homens;6795;Total
Indicador  5.4.1.3;2;4.8;16;Amapá;9471;2016;4;Homens;1;Urbana
Indicador  5.4.1.3;2;3.2;16;Amapá;9471;2016;4;Homens;2;Rural
Indicador  5.4.1.3;2;8.5;16;Amapá;9471;2016;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;8.5;16;Amapá;9471;2016;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;8.2;16;Amapá;9471;2016;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;7.8;16;Amapá;9471;2017;6794;Total;6795;Total
Indicador  5.4.1.3;2;8.0;16;Amapá;9471;2017;6794;Total;1;Urbana
Indicador  5.4.1.3;2;5.2;16;Amapá;9471;2017;6794;Total;2;Rural
Indicador  5.4.1.3;2;5.8;16;Amapá;9471;2017;4;Homens;6795;Total
Indicador  5.4.1.3;2;6.1;16;Amapá;9471;2017;4;Homens;1;Urbana
Indicador  5.4.1.3;2;3.2;16;Amapá;9471;2017;4;Homens;2;Rural
Indicador  5.4.1.3;2;9.6;16;Amapá;9471;2017;5;Mulheres;6795;Total
Indicador  5.4.1.3;2;9.8;16;Amapá;9471;2017;5;Mulheres;1;Urbana
Indicador  5.4.1.3;2;7.5;16;Amapá;9471;2017;5;Mulheres;2;Rural
Indicador  5.4.1.3;2;7.2;16;Amapá;9471;2018;6794;Total;6795;Total
Indicador  5.4.1.3;2;7.6;16;Amapá;9471;2018;6794;Total;1;Urbana
Indicador  5.4.1.3;2;3.9;16;Amapá;9471;2018;6794;Total;2;Rural
Indicador  5.4.1.3;2;5.6;16;Amapá;9471;2018;4;Homens;6795;Total
Indicador  5.4.1.3;2;5.9;16;Amapá;9471;2018;4;Homens;1;Urbana
