ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SET_ATIV;DESC_SET_ATIV;SUB_INDICADOR
Indicador  6.4.1;1767;24.02;21;Maranhão;12771;2011;13;Serviços;12771
Indicador  6.4.1;1767;0.81;21;Maranhão;12771;2011;45985;Agropecuária;12771
Indicador  6.4.1;1767;14.21;21;Maranhão;12771;2012;100374;Total;12771
Indicador  6.4.1;1767;73.41;21;Maranhão;12771;2012;46522;Indústria;12771
Indicador  6.4.1;1767;24.88;21;Maranhão;12771;2012;13;Serviços;12771
Indicador  6.4.1;1767;0.71;21;Maranhão;12771;2012;45985;Agropecuária;12771
Indicador  6.4.1;1767;14.96;21;Maranhão;12771;2013;100374;Total;12771
Indicador  6.4.1;1767;54.05;21;Maranhão;12771;2013;46522;Indústria;12771
Indicador  6.4.1;1767;25.63;21;Maranhão;12771;2013;13;Serviços;12771
Indicador  6.4.1;1767;0.78;21;Maranhão;12771;2013;45985;Agropecuária;12771
Indicador  6.4.1;1767;13.44;21;Maranhão;12771;2014;100374;Total;12771
Indicador  6.4.1;1767;16.71;21;Maranhão;12771;2014;46522;Indústria;12771
Indicador  6.4.1;1767;25.72;21;Maranhão;12771;2014;13;Serviços;12771
Indicador  6.4.1;1767;0.82;21;Maranhão;12771;2014;45985;Agropecuária;12771
Indicador  6.4.1;1767;11.71;21;Maranhão;12771;2015;100374;Total;12771
Indicador  6.4.1;1767;13.15;21;Maranhão;12771;2015;46522;Indústria;12771
Indicador  6.4.1;1767;24.71;21;Maranhão;12771;2015;13;Serviços;12771
Indicador  6.4.1;1767;0.69;21;Maranhão;12771;2015;45985;Agropecuária;12771
Indicador  6.4.1;1767;11.92;21;Maranhão;12771;2016;100374;Total;12771
Indicador  6.4.1;1767;12.69;21;Maranhão;12771;2016;46522;Indústria;12771
Indicador  6.4.1;1767;24.20;21;Maranhão;12771;2016;13;Serviços;12771
Indicador  6.4.1;1767;0.82;21;Maranhão;12771;2016;45985;Agropecuária;12771
Indicador  6.4.1;1767;12.72;21;Maranhão;12771;2017;100374;Total;12771
Indicador  6.4.1;1767;11.77;21;Maranhão;12771;2017;46522;Indústria;12771
Indicador  6.4.1;1767;24.69;21;Maranhão;12771;2017;13;Serviços;12771
Indicador  6.4.1;1767;0.90;21;Maranhão;12771;2017;45985;Agropecuária;12771
Indicador  6.4.1;1767;13.34;21;Maranhão;12771;2018;100374;Total;12771
