ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_ETAPA_ENS;DESC_ETAPA_ENS
Indicador  4.c.1;1726;71.1;13;Amazonas;9610;2012;41125;Ensino médio
Indicador  4.c.1;1726;68.2;13;Amazonas;9610;2013;41122;Educação infantil
Indicador  4.c.1;1726;80.9;13;Amazonas;9610;2013;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;49.4;13;Amazonas;9610;2013;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;79.9;13;Amazonas;9610;2013;41125;Ensino médio
Indicador  4.c.1;1726;68.2;13;Amazonas;9610;2014;41122;Educação infantil
Indicador  4.c.1;1726;81.0;13;Amazonas;9610;2014;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;50.9;13;Amazonas;9610;2014;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;81.1;13;Amazonas;9610;2014;41125;Ensino médio
Indicador  4.c.1;1726;65.6;13;Amazonas;9610;2015;41122;Educação infantil
Indicador  4.c.1;1726;80.9;13;Amazonas;9610;2015;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;50.2;13;Amazonas;9610;2015;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;80.3;13;Amazonas;9610;2015;41125;Ensino médio
Indicador  4.c.1;1726;64.6;13;Amazonas;9610;2016;41122;Educação infantil
Indicador  4.c.1;1726;81.3;13;Amazonas;9610;2016;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;52.3;13;Amazonas;9610;2016;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;82.2;13;Amazonas;9610;2016;41125;Ensino médio
Indicador  4.c.1;1726;64.7;13;Amazonas;9610;2017;41122;Educação infantil
Indicador  4.c.1;1726;81.2;13;Amazonas;9610;2017;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;53.2;13;Amazonas;9610;2017;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;82.7;13;Amazonas;9610;2017;41125;Ensino médio
Indicador  4.c.1;1726;65.3;13;Amazonas;9610;2018;41122;Educação infantil
Indicador  4.c.1;1726;81.4;13;Amazonas;9610;2018;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;53.5;13;Amazonas;9610;2018;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;82.3;13;Amazonas;9610;2018;41125;Ensino médio
Indicador  4.c.1;1726;72.7;13;Amazonas;9610;2019;41122;Educação infantil
Indicador  4.c.1;1726;86.3;13;Amazonas;9610;2019;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;56.7;13;Amazonas;9610;2019;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;82.8;13;Amazonas;9610;2019;41125;Ensino médio
Indicador  4.c.1;1726;72.3;13;Amazonas;9610;2020;41122;Educação infantil
Indicador  4.c.1;1726;86.5;13;Amazonas;9610;2020;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;58.0;13;Amazonas;9610;2020;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;85.5;13;Amazonas;9610;2020;41125;Ensino médio
Indicador  4.c.1;1726;72.3;13;Amazonas;9610;2021;41122;Educação infantil
Indicador  4.c.1;1726;85.7;13;Amazonas;9610;2021;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;60.3;13;Amazonas;9610;2021;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;77.3;13;Amazonas;9610;2021;41125;Ensino médio
Indicador  4.c.1;1726;70.5;13;Amazonas;9610;2022;41122;Educação infantil
Indicador  4.c.1;1726;85.4;13;Amazonas;9610;2022;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;60.4;13;Amazonas;9610;2022;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;77.9;13;Amazonas;9610;2022;41125;Ensino médio
Indicador  4.c.1;1726;81.2;14;Roraima;9610;2007;41122;Educação infantil
Indicador  4.c.1;1726;87.2;14;Roraima;9610;2007;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;26.9;14;Roraima;9610;2007;41124;Ensino fundamental - anos finais
