ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_IDADE;DESC_IDADE;CODG_SIT_DOM;DESC_SIT_DOM;SUB_INDICADOR
Indicador  16.1.3.1;1572;121.696;22;Piauí;11392;2019;99127;40 a 59 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;22;Piauí;11392;2019;99127;40 a 59 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;22;Piauí;11392;2019;99127;40 a 59 anos;2;Rural;11392
Indicador  16.1.3.1;1572;55.032;22;Piauí;11392;2019;3302;60 anos ou mais;6795;Total;11392
Indicador  16.1.3.1;1572;-;22;Piauí;11392;2019;3302;60 anos ou mais;1;Urbana;11392
Indicador  16.1.3.1;1572;-;22;Piauí;11392;2019;3302;60 anos ou mais;2;Rural;11392
Indicador  16.1.3.1;1572;1243.673;23;Ceará;11392;2019;95253;Total;6795;Total;11392
Indicador  16.1.3.1;1572;-;23;Ceará;11392;2019;95253;Total;1;Urbana;11392
Indicador  16.1.3.1;1572;-;23;Ceará;11392;2019;95253;Total;2;Rural;11392
Indicador  16.1.3.1;1572;415.468;23;Ceará;11392;2019;33061;18 a 29 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;23;Ceará;11392;2019;33061;18 a 29 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;23;Ceará;11392;2019;33061;18 a 29 anos;2;Rural;11392
Indicador  16.1.3.1;1572;287.654;23;Ceará;11392;2019;3299;30 a 39 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;23;Ceará;11392;2019;3299;30 a 39 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;23;Ceará;11392;2019;3299;30 a 39 anos;2;Rural;11392
Indicador  16.1.3.1;1572;408.131;23;Ceará;11392;2019;99127;40 a 59 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;23;Ceará;11392;2019;99127;40 a 59 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;23;Ceará;11392;2019;99127;40 a 59 anos;2;Rural;11392
Indicador  16.1.3.1;1572;132.420;23;Ceará;11392;2019;3302;60 anos ou mais;6795;Total;11392
Indicador  16.1.3.1;1572;-;23;Ceará;11392;2019;3302;60 anos ou mais;1;Urbana;11392
Indicador  16.1.3.1;1572;-;23;Ceará;11392;2019;3302;60 anos ou mais;2;Rural;11392
Indicador  16.1.3.1;1572;478.193;24;Rio Grande do Norte;11392;2019;95253;Total;6795;Total;11392
Indicador  16.1.3.1;1572;-;24;Rio Grande do Norte;11392;2019;95253;Total;1;Urbana;11392
Indicador  16.1.3.1;1572;-;24;Rio Grande do Norte;11392;2019;95253;Total;2;Rural;11392
Indicador  16.1.3.1;1572;158.052;24;Rio Grande do Norte;11392;2019;33061;18 a 29 anos;6795;Total;11392
Indicador  16.1.3.1;1572;-;24;Rio Grande do Norte;11392;2019;33061;18 a 29 anos;1;Urbana;11392
Indicador  16.1.3.1;1572;-;24;Rio Grande do Norte;11392;2019;33061;18 a 29 anos;2;Rural;11392
