ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_ECO_REL_AGUA;DESC_ECO_REL_AGUA;CODG_TIP_DIN_ECO_REL_AGUA;DESC_TIP_DIN_ECO_REL_AGUA;SUB_INDICADOR
Indicador  6.6.1;2;-;27;Alagoas;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;27;Alagoas;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;27;Alagoas;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;27;Alagoas;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-17.7;27;Alagoas;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;3.9;27;Alagoas;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-2.7;28;Sergipe;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-1.0;28;Sergipe;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;28;Sergipe;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;28;Sergipe;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;28;Sergipe;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;28;Sergipe;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-27.8;28;Sergipe;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;38.6;28;Sergipe;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-3.8;29;Bahia;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-11.7;29;Bahia;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;29;Bahia;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;29;Bahia;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;29;Bahia;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;29;Bahia;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-23.9;29;Bahia;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-12.4;29;Bahia;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-5.3;31;Minas Gerais;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-3.8;31;Minas Gerais;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;31;Minas Gerais;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;31;Minas Gerais;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;31;Minas Gerais;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;31;Minas Gerais;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-19.4;31;Minas Gerais;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-23.4;31;Minas Gerais;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;13.1;32;Espírito Santo;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;7.2;32;Espírito Santo;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;32;Espírito Santo;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;32;Espírito Santo;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;32;Espírito Santo;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;32;Espírito Santo;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-6.2;32;Espírito Santo;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;7.5;32;Espírito Santo;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;11.4;33;Rio de Janeiro;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;9.0;33;Rio de Janeiro;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;33;Rio de Janeiro;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;33;Rio de Janeiro;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;33;Rio de Janeiro;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;33;Rio de Janeiro;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;3.3;33;Rio de Janeiro;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;55.3;33;Rio de Janeiro;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-1.9;35;São Paulo;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-1.8;35;São Paulo;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;35;São Paulo;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;35;São Paulo;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;35;São Paulo;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;35;São Paulo;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-1.2;35;São Paulo;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-8.4;35;São Paulo;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-4.7;41;Paraná;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-0.3;41;Paraná;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;41;Paraná;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;41;Paraná;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;41;Paraná;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;41;Paraná;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-4.8;41;Paraná;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-6.0;41;Paraná;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;96.8;42;Santa Catarina;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;89.1;42;Santa Catarina;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;42;Santa Catarina;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;42;Santa Catarina;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;42;Santa Catarina;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;42;Santa Catarina;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-0.6;42;Santa Catarina;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-10.7;42;Santa Catarina;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;9.5;43;Rio Grande do Sul;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;10.6;43;Rio Grande do Sul;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;43;Rio Grande do Sul;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;43;Rio Grande do Sul;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;43;Rio Grande do Sul;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;43;Rio Grande do Sul;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;2.4;43;Rio Grande do Sul;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-16.6;43;Rio Grande do Sul;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;3.3;50;Mato Grosso do Sul;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;2.7;50;Mato Grosso do Sul;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;50;Mato Grosso do Sul;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;50;Mato Grosso do Sul;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;50;Mato Grosso do Sul;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;50;Mato Grosso do Sul;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;8.0;50;Mato Grosso do Sul;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;33.7;50;Mato Grosso do Sul;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;48.2;51;Mato Grosso;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;52.3;51;Mato Grosso;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;51;Mato Grosso;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
